Title,Director,Cast,genres,combo
chilkur balaji,allani sridhar,sunil sharma saikumar s. p. balasubrahmanyam aamani bhanu sri mehra suman,un_known,chilkur balaji allani sridhar sunil sharma saikumar s. p. balasubrahmanyam aamani bhanu sri mehra suman un_known
agnyaathavaasi,trivikram srinivas,pawan kalyan keerthy suresh anu emmanuel aadhi pinisetty boman irani,Drama Action,agnyaathavaasi trivikram srinivas pawan kalyan keerthy suresh anu emmanuel aadhi pinisetty boman irani Drama Action
jai simha,k. s. ravikumar,nandamuri balakrishna nayantara haripriya natasha doshi prakash raj ashutosh rana,Action Comedy Drama Family,jai simha k. s. ravikumar nandamuri balakrishna nayantara haripriya natasha doshi prakash raj ashutosh rana Action Comedy Drama Family
rangula ratnam,sri rajani,raj tarun chitra shukla priyadarshi pullikonda sithara,un_known,rangula ratnam sri rajani raj tarun chitra shukla priyadarshi pullikonda sithara un_known
3 mukhi,aishwarya addala,aishwarya addala satyanand gopi chand yadha kumar,Thriller Horror,3 mukhi aishwarya addala aishwarya addala satyanand gopi chand yadha kumar Thriller Horror
ego,r. v. subramanyam,aashish raj bidkikar simran sharma diksha panth,Animation Comedy Family Science Fiction,ego r. v. subramanyam aashish raj bidkikar simran sharma diksha panth Animation Comedy Family Science Fiction
bhaagamathie,g. ashok,anushka shetty jayaram unni mukundan asha sarath murali sharma,Thriller Horror Crime Mystery,bhaagamathie g. ashok anushka shetty jayaram unni mukundan asha sarath murali sharma Thriller Horror Crime Mystery
chalo,venky kudumula,naga shaurya rashmika mandanna naresh achyuth kumar raghu babu,Comedy,chalo venky kudumula naga shaurya rashmika mandanna naresh achyuth kumar raghu babu Comedy
hbd - hacked by devil,krishna karthik,santoshi sharma meghana himaja,un_known,hbd - hacked by devil krishna karthik santoshi sharma meghana himaja un_known
touch chesi chudu,vikram sirikonda,ravi teja raashi khanna seerat kapoor freddy daruwala,Action,touch chesi chudu vikram sirikonda ravi teja raashi khanna seerat kapoor freddy daruwala Action
howrah bridge,revan yadhu,rahul ravindran chandini chowdhary manali rathod rao ramesh ajay ali,Thriller Romance Action,howrah bridge revan yadhu rahul ravindran chandini chowdhary manali rathod rao ramesh ajay ali Thriller Romance Action
gayatri,r. r. madan,mohan babu shriya saran vishnu manchu brahmanandam,Family Action Thriller,gayatri r. r. madan mohan babu shriya saran vishnu manchu brahmanandam Family Action Thriller
