Title,Director,Cast,genres,combo
ajay passayyadu,prem deepak,aman singh jhansi sai ketan sivannarayana,un_known,ajay passayyadu prem deepak aman singh jhansi sai ketan sivannarayana un_known
natana,bharathi babu,mahidar sravya rao raghu babu prabhas sreenu,un_known,natana bharathi babu mahidar sravya rao raghu babu prabhas sreenu un_known
n.t.r: kathanayakudu,krish,nandamuri balakrishnavidya balanrana daggubatisumanthrakul preet singhnithya menenhansika motwani,Drama,n.t.r: kathanayakudu krish nandamuri balakrishnavidya balanrana daggubatisumanthrakul preet singhnithya menenhansika motwani Drama
vinaya vidheya rama,boyapati srinu,ram charan kiara advani vivek oberoi prasanth sneha,un_known,vinaya vidheya rama boyapati srinu ram charan kiara advani vivek oberoi prasanth sneha un_known
f2: fun and frustration,anil ravipudi,venkatesh varun tej tamannaah bhatia mehreen pirzada prakash raj nassar rajendra prasad vennela kishore,Comedy,f2: fun and frustration anil ravipudi venkatesh varun tej tamannaah bhatia mehreen pirzada prakash raj nassar rajendra prasad vennela kishore Comedy
kothaga maa prayanam,ramana mogili,yamini bhaskar priyanth bhanu karunya chowdhary jeeva giridhar,Drama Romance,kothaga maa prayanam ramana mogili yamini bhaskar priyanth bhanu karunya chowdhary jeeva giridhar Drama Romance
mr. majnu,venky atluri,akhil akkineninidhhi agerwalizabelle leitekailash reddyraja chembolunaga babusubbarajurao rameshjayaprakashajay,Drama Romance,mr. majnu venky atluri akhil akkineninidhhi agerwalizabelle leitekailash reddyraja chembolunaga babusubbarajurao rameshjayaprakashajay Drama Romance
akkadokaduntadu,sri paada viswak,siva kantamaneni ram karthik vinod kumar ravi babu,un_known,akkadokaduntadu sri paada viswak siva kantamaneni ram karthik vinod kumar ravi babu un_known
bichagada majaka,k. s. nageswara rao,arjun reddy neha deshpande suman babu mohan,un_known,bichagada majaka k. s. nageswara rao arjun reddy neha deshpande suman babu mohan un_known
gamer,rajesh tadakala,sraneeth raj kalyani patel,Action Thriller Science Fiction,gamer rajesh tadakala sraneeth raj kalyani patel Action Thriller Science Fiction
sakala kala vallabhudu,siva ganesh,tanishq reddy meghla muktha suman jeeva,un_known,sakala kala vallabhudu siva ganesh tanishq reddy meghla muktha suman jeeva un_known
yatra,mahi v. raghav,mammootty suhasini maniratnam jagapathi babu,un_known,yatra mahi v. raghav mammootty suhasini maniratnam jagapathi babu un_known
4 letters,r. raghuraj,eeshwar tuya chakraborthy posani krishna murali anikitha maharaana,Comedy Drama,4 letters r. raghuraj eeshwar tuya chakraborthy posani krishna murali anikitha maharaana Comedy Drama
mithai,prashant kumar,priyadarshi pullikonda kamal kamaraju swetaa verma gayatri gupta,Comedy Crime Romance,mithai prashant kumar priyadarshi pullikonda kamal kamaraju swetaa verma gayatri gupta Comedy Crime Romance
n.t.r: mahanayakudu,krish,nandamuri balakrishna vidya balan rana daggubati,Drama,n.t.r: mahanayakudu krish nandamuri balakrishna vidya balan rana daggubati Drama
prementha panichese narayana,jonnalagadda srinivasa rao,harikrishna jonnalagadda akshitha jhansi,un_known,prementha panichese narayana jonnalagadda srinivasa rao harikrishna jonnalagadda akshitha jhansi un_known
akkadokaduntadu,sri paada viswaak,ram karthik vinod kumar ravi babu alekhaaya siva harish,un_known,akkadokaduntadu sri paada viswaak ram karthik vinod kumar ravi babu alekhaaya siva harish un_known
crazy crazy feeling,sanjai kartik,viswant duddumpudi palak lalwani,un_known,crazy crazy feeling sanjai kartik viswant duddumpudi palak lalwani un_known
118,k. v. guhan,kalyan ram nivetha thomas shalini pandey,un_known,118 k. v. guhan kalyan ram nivetha thomas shalini pandey un_known
eureka,karteek anand,karteek anand dimple hayathi,Drama Action Thriller,eureka karteek anand karteek anand dimple hayathi Drama Action Thriller
aa nimisham,kala rajesh,prasad reddy ranisree,un_known,aa nimisham kala rajesh prasad reddy ranisree un_known
ashok reddy,nandi venkat reddy,rajanikanthi kathi rambhaa,un_known,ashok reddy nandi venkat reddy rajanikanthi kathi rambhaa un_known
bilalpur police station,naga sai makham,srinath maganti saanvie meghana goreti venkanna r. s. nanda,Action Drama,bilalpur police station naga sai makham srinath maganti saanvie meghana goreti venkanna r. s. nanda Action Drama
college poragallu,annam chandrashekar,mallikarjun kavitha mahato,un_known,college poragallu annam chandrashekar mallikarjun kavitha mahato un_known
jessie,ashwani kumar. v,abhinav gomatam abhishek maharshi,Comedy Romance,jessie ashwani kumar. v abhinav gomatam abhishek maharshi Comedy Romance
magnet,adishesha sai reddy,sakshi chowdhary posani krishna murali jabardasth srinu akshitha,Comedy Romance,magnet adishesha sai reddy sakshi chowdhary posani krishna murali jabardasth srinu akshitha Comedy Romance
manasa vaacha,m. v. prasad,tejas karishna karpal seema parmar,un_known,manasa vaacha m. v. prasad tejas karishna karpal seema parmar un_known
pranam khareedu,p. l. k. reddy,prashanth avantika taraka ratna,Drama,pranam khareedu p. l. k. reddy prashanth avantika taraka ratna Drama
where is the venkatalakshmi,kishore kumar,raai laxmi pujita ponnada ram karthik praveen brahmaji madhunandan,un_known,where is the venkatalakshmi kishore kumar raai laxmi pujita ponnada ram karthik praveen brahmaji madhunandan un_known
prematho cheppana,ranga ravinder gupta,udaytej bhanu sri mehra,un_known,prematho cheppana ranga ravinder gupta udaytej bhanu sri mehra un_known
adhrushyam,ravi prakash krishnamsetty,jaan angana roy kalpana jabardasth appa rao r. p. vinod,Horror Thriller,adhrushyam ravi prakash krishnamsetty jaan angana roy kalpana jabardasth appa rao r. p. vinod Horror Thriller
cheddi gang,kanagala ramesh chowdhary,srinivasa reddy devan baburaj,un_known,cheddi gang kanagala ramesh chowdhary srinivasa reddy devan baburaj un_known
vinara sodara veera kumara,sateesh chandra nadella,srinivas sai priyanka jain uttej jhansi,Romance,vinara sodara veera kumara sateesh chandra nadella srinivas sai priyanka jain uttej jhansi Romance
lakshmi's ntr,ram gopal varmaagasthya manju,p. vijay kumar yagna shetty sritej,Drama,lakshmi's ntr ram gopal varmaagasthya manju p. vijay kumar yagna shetty sritej Drama
suryakantham,pranith bramandapally,niharika konidela rahul vijay shivaji raja suhasini maniratnam,Thriller Action,suryakantham pranith bramandapally niharika konidela rahul vijay shivaji raja suhasini maniratnam Thriller Action
majili,shiva nirvana,naga chaitanya akkineni samantha akkineni divyansha kaushik subbaraju rao ramesh atul kulkarni posani krishna murali,Drama Romance,majili shiva nirvana naga chaitanya akkineni samantha akkineni divyansha kaushik subbaraju rao ramesh atul kulkarni posani krishna murali Drama Romance
prema katha chitram 2,hari krishna,sumanth ashwin nandita swetha,un_known,prema katha chitram 2 hari krishna sumanth ashwin nandita swetha un_known
chitralahari,kishore tirumala,sai dharam tej kalyani priyadarshan nivetha pethuraj sunil vennela kishore posani krishna murali brahmaji,Drama Romance,chitralahari kishore tirumala sai dharam tej kalyani priyadarshan nivetha pethuraj sunil vennela kishore posani krishna murali brahmaji Drama Romance
runam,srinivas gundareddy,gopi krishna priyanka augustine mahendar shilpa,un_known,runam srinivas gundareddy gopi krishna priyanka augustine mahendar shilpa un_known
jersey,gowtam tinnanuri,nani shraddha srinath sathyaraj sampath raj harish kalyan viswant,Music Drama,jersey gowtam tinnanuri nani shraddha srinath sathyaraj sampath raj harish kalyan viswant Music Drama
chikati gadilo chithakotudu,santhosh p. jayakumar,adith arun bhagyashree mote sayantani guhathakurta nikki tamboli posani krishna murali rajendran,Horror Comedy Romance,chikati gadilo chithakotudu santhosh p. jayakumar adith arun bhagyashree mote sayantani guhathakurta nikki tamboli posani krishna murali rajendran Horror Comedy Romance
danger love story,shekar chandra,khayyum gaurav adia madhulagna das jabardasth appa rao,un_known,danger love story shekar chandra khayyum gaurav adia madhulagna das jabardasth appa rao un_known
diksoochi,dilip kumar salvadi,dilip kumar salvadi chandni bhagwanani sammeta gandhi chatrapathi shekar,un_known,diksoochi dilip kumar salvadi dilip kumar salvadi chandni bhagwanani sammeta gandhi chatrapathi shekar un_known
duppatlo minnagu,yandamuri veerendranath,naveen thirthahalli chirashree anchan,un_known,duppatlo minnagu yandamuri veerendranath naveen thirthahalli chirashree anchan un_known
nuvvu thopu raa,b. harinath babu,sudhakar komakula nithya shetty nirosha,un_known,nuvvu thopu raa b. harinath babu sudhakar komakula nithya shetty nirosha un_known
okate life,m. venkat,jithan ramesh shruti yugal nalla venu suman,un_known,okate life m. venkat jithan ramesh shruti yugal nalla venu suman un_known
rangu paduddi,s. shyam prasad,ali raghu babu dhanraj suman shetty,un_known,rangu paduddi s. shyam prasad ali raghu babu dhanraj suman shetty un_known
