Title,Director,Cast,genres,combo
krack,gopichand malineni,Ravi Teja Shruti Haasan Varalaxmi Sarathkumar Samuthirakani P. Ravi Shankar Chirag Jani Devi Prasad Mouryani,un_known,krack gopichand malineni Ravi Teja Shruti Haasan Varalaxmi Sarathkumar Samuthirakani P. Ravi Shankar Chirag Jani Devi Prasad Mouryani un_known
mail,uday gurrala,Priyadarshi Pulikonda Harshith Malgireddy Mani Aegurla Gouripriya Reddy Yennengee Ravinder Bommakanti Vannarn Srikanth Palle Anusha Netha,Comedy Romance,mail uday gurrala Priyadarshi Pulikonda Harshith Malgireddy Mani Aegurla Gouripriya Reddy Yennengee Ravinder Bommakanti Vannarn Srikanth Palle Anusha Netha Comedy Romance
red,kishore tirumala,Ram Pothineni Nivetha Pethuraj Malvika Sharma Amritha Aiyer Sampath Raj Vennela Kishore Nassar Posani Krishna Murali Sonia Aggarwal Satya,Drama Thriller,red kishore tirumala Ram Pothineni Nivetha Pethuraj Malvika Sharma Amritha Aiyer Sampath Raj Vennela Kishore Nassar Posani Krishna Murali Sonia Aggarwal Satya Drama Thriller
alludu adhurs,santhosh srinivas,Bellamkonda Sreenivas Nabha Natesh Anu Emmanuel Sonu Sood Prakash Raj,Romance Comedy,alludu adhurs santhosh srinivas Bellamkonda Sreenivas Nabha Natesh Anu Emmanuel Sonu Sood Prakash Raj Romance Comedy
cycle,aatla arjun reddy,Punarnavi Bhupalam Mahat Raghavendra Sudarshan Swetha Varma Annapoorna,Drama,cycle aatla arjun reddy Punarnavi Bhupalam Mahat Raghavendra Sudarshan Swetha Varma Annapoorna Drama
super over,praveen varma,Naveen Chandra Chandini Chowdary Ajay Harsha Chemudu Rakendu Mouli Praveen,Thriller,super over praveen varma Naveen Chandra Chandini Chowdary Ajay Harsha Chemudu Rakendu Mouli Praveen Thriller
bangaru bullodu,p. v. giri,Allari Naresh Pooja Jhaveri Posani Krishna Murali Ajay Ghosh Vennela Kishore Tanikella Bharani Satyam Rajesh Prudhvi Raj,un_known,bangaru bullodu p. v. giri Allari Naresh Pooja Jhaveri Posani Krishna Murali Ajay Ghosh Vennela Kishore Tanikella Bharani Satyam Rajesh Prudhvi Raj un_known
30 rojullo preminchadam ela,munna,Pradeep Machiraju Amritha Aiyer Harsha Chemudu Subhalekha Sudhakar Posani Krishna Murali Hema Bhadram Hyper Aadi Sivannarayana Naripeddi Sruthi,un_known,30 rojullo preminchadam ela munna Pradeep Machiraju Amritha Aiyer Harsha Chemudu Subhalekha Sudhakar Posani Krishna Murali Hema Bhadram Hyper Aadi Sivannarayana Naripeddi Sruthi un_known
amma deevena,shiva eturi,Aamani Posani Krishna Murali Ajay Ghosh,un_known,amma deevena shiva eturi Aamani Posani Krishna Murali Ajay Ghosh un_known
annapurnamma gari manavadu,narra shiva nageswara rao,Baladithya Veda Sastry Vikram Chary Vijayendra,Family Drama,annapurnamma gari manavadu narra shiva nageswara rao Baladithya Veda Sastry Vikram Chary Vijayendra Family Drama
cheppina evaru nammaru,aaryan krishna,Aaryan Krishna Supyardee Singh Vikram Chary Vijayendra,Action,cheppina evaru nammaru aaryan krishna Aaryan Krishna Supyardee Singh Vikram Chary Vijayendra Action
jai sena,v. samudra,Srikanth Sunil Sreeram Taraka Ratna,Action Drama,jai sena v. samudra Srikanth Sunil Sreeram Taraka Ratna Action Drama
mr & miss,ashok reddy,Sailesh Sunny Gnaneswari Kandregula,un_known,mr & miss ashok reddy Sailesh Sunny Gnaneswari Kandregula un_known
kalaposhakulu,chalapathy puvvula,Vishva Karthikeya Deepa Gemini Suresh Ananth Krishnaveni,un_known,kalaposhakulu chalapathy puvvula Vishva Karthikeya Deepa Gemini Suresh Ananth Krishnaveni un_known
madhura wines,bandi jayakishore,Naveen Kumar Reddy Sahasra Reddy Tumuluri Sammohit Kommuri Leela Venkatesh,un_known,madhura wines bandi jayakishore Naveen Kumar Reddy Sahasra Reddy Tumuluri Sammohit Kommuri Leela Venkatesh un_known
zombie reddy,prasanth varma,Sajja Teja Anandhi Harsha Vardhan Raghu Babu Daksha Nagarkar Prudhvi Raj Raghu Karumanchi Kireeti Damaraju Annapoorna Vitta Mahesh,Horror,zombie reddy prasanth varma Sajja Teja Anandhi Harsha Vardhan Raghu Babu Daksha Nagarkar Prudhvi Raj Raghu Karumanchi Kireeti Damaraju Annapoorna Vitta Mahesh Horror
pranavum,kumar g,Sree Mangam Avantika Hari Gayatri Iyer Gemini suresh Shashank,un_known,pranavum kumar g Sree Mangam Avantika Hari Gayatri Iyer Gemini suresh Shashank un_known
g- zombie,aryandeepu,Aryan Gowra Divya Pandey,Horror Fantasy Comedy,g- zombie aryandeepu Aryan Gowra Divya Pandey Horror Fantasy Comedy
uppena,bucchi babu sana,Panja Vaisshnav Tej Krithi Shetty Vijay Sethupathi,Drama,uppena bucchi babu sana Panja Vaisshnav Tej Krithi Shetty Vijay Sethupathi Drama
fcuk: father chitti umaa kaarthik,vidya sagar raju,Jagapathi Babu Ammu Abhirami Ram Karthik Baby Sahrashita Ali Rajitha Krishna Bhagavaan Brahmaji Raja Ram Prasad,un_known,fcuk: father chitti umaa kaarthik vidya sagar raju Jagapathi Babu Ammu Abhirami Ram Karthik Baby Sahrashita Ali Rajitha Krishna Bhagavaan Brahmaji Raja Ram Prasad un_known
pogaru,nanda kishore,Dhruva Sarja Rashmika Mandanna Dhananjay Raghavendra Rajkumar P. Ravi Shankar Sadhu Kokila Kuri Prathap Mirnalini Ravi Mayuri Kyatari Dharma,un_known,pogaru nanda kishore Dhruva Sarja Rashmika Mandanna Dhananjay Raghavendra Rajkumar P. Ravi Shankar Sadhu Kokila Kuri Prathap Mirnalini Ravi Mayuri Kyatari Dharma un_known
pitta kathalu,nag ashwinb. v. nandini reddytharun bhasckersankalp reddy,Shruti Haasan Eesha Rebba Amala Paul Lakshmi Manchu Jagapathi Babu Saanve Megghana Sanjith Hegde Ashwin Kakumanu Satyadev Kancharana Srinivas Avasarala,Drama,pitta kathalu nag ashwinb. v. nandini reddytharun bhasckersankalp reddy Shruti Haasan Eesha Rebba Amala Paul Lakshmi Manchu Jagapathi Babu Saanve Megghana Sanjith Hegde Ashwin Kakumanu Satyadev Kancharana Srinivas Avasarala Drama
naandhi,vijay kanakamedala,Allari Naresh Varalaxmi Sarathkumar Priyadarshi Pulikonda  Harish Uthaman Praveen,un_known,naandhi vijay kanakamedala Allari Naresh Varalaxmi Sarathkumar Priyadarshi Pulikonda  Harish Uthaman Praveen un_known
