Title,Director,Cast,genres,combo
sarrainodu,boyapati srinu,allu arjun srikanth aadhi pinisetty rakul preet singh catherine tresa pradeep rawat sai kumar jayaprakash brahmanandam,Action Drama,sarrainodu boyapati srinu allu arjun srikanth aadhi pinisetty rakul preet singh catherine tresa pradeep rawat sai kumar jayaprakash brahmanandam Action Drama
raja cheyyi vesthe,pradeep,nara rohit isha talwar taraka ratna,Thriller Action Romance,raja cheyyi vesthe pradeep nara rohit isha talwar taraka ratna Thriller Action Romance
supreme,anil ravipudi,sai dharam tej raashi khanna master mikhail gandhi rajendra prasad kabir duhan singh ravi kishan sai kumar,Documentary,supreme anil ravipudi sai dharam tej raashi khanna master mikhail gandhi rajendra prasad kabir duhan singh ravi kishan sai kumar Documentary
brahmotsavam,srikanth addala,mahesh babu kajal aggarwal samantha ruth prabhu pranitha subhash,Family Romance,brahmotsavam srikanth addala mahesh babu kajal aggarwal samantha ruth prabhu pranitha subhash Family Romance
a aa,trivikram srinivas,nithiin samantha naresh srinivas avasarala,Family,a aa trivikram srinivas nithiin samantha naresh srinivas avasarala Family
sri sri,muppalaneni siva,krishna vijay nirmala,Action Drama Family,sri sri muppalaneni siva krishna vijay nirmala Action Drama Family
okka ammayi thappa,rajasimha tadinada,sundeep kishan nithya menen ravi kishan ali prudhviraj,Action Drama Romance,okka ammayi thappa rajasimha tadinada sundeep kishan nithya menen ravi kishan ali prudhviraj Action Drama Romance
parvathipuram,m.a. chowdary,madan srushti dange tapashree kushi sharma leena david,un_known,parvathipuram m.a. chowdary madan srushti dange tapashree kushi sharma leena david un_known
right right,j. b. murali krishna,sumanth ashwin pooja jhaveri pavani gangireddy nassar,Drama Romance,right right j. b. murali krishna sumanth ashwin pooja jhaveri pavani gangireddy nassar Drama Romance
gentleman,mohan krishna indraganti,nani niveda thomas surabhi srinivas avasarala tanikella bharani vennela kishore,Drama Romance,gentleman mohan krishna indraganti nani niveda thomas surabhi srinivas avasarala tanikella bharani vennela kishore Drama Romance
premikudu,kala sundeep,maanas n sanam shetty shakalaka shankar paruchuri venkateswara rao bhanu chander,un_known,premikudu kala sundeep maanas n sanam shetty shakalaka shankar paruchuri venkateswara rao bhanu chander un_known
meeku meere maaku meme,hussain sha kiran,tarun shetty avantika mishra jenny honey kireeti damaraju,un_known,meeku meere maaku meme hussain sha kiran tarun shetty avantika mishra jenny honey kireeti damaraju un_known
guppedantha prema,vinod lingala,sai ronak aditi sssingh,Comedy Romance Drama,guppedantha prema vinod lingala sai ronak aditi sssingh Comedy Romance Drama
oka manasu,rama raju gottimukkala,naga shourya niharika konidela rao ramesh srinivas avasarala,Romance Drama,oka manasu rama raju gottimukkala naga shourya niharika konidela rao ramesh srinivas avasarala Romance Drama
kundanapu bomma,mullapudi vara,chandini chowdary sudhakar komakula sudheer varma aalapati lakshmi,Comedy Romance,kundanapu bomma mullapudi vara chandini chowdary sudhakar komakula sudheer varma aalapati lakshmi Comedy Romance
rajadhi raja,cheran,sharwanand nithya menen prakash raj santhanam,un_known,rajadhi raja cheran sharwanand nithya menen prakash raj santhanam un_known
