Title,Director,Cast,genres,combo
graduate,prasad rayala,akshay rithika sood tashu kaushik,Comedy Drama,graduate prasad rayala akshay rithika sood tashu kaushik Comedy Drama
parama veera chakra,dasari narayana rao,nandamuri balakrishna sheela amisha patel neha dhupia,un_known,parama veera chakra dasari narayana rao nandamuri balakrishna sheela amisha patel neha dhupia un_known
mirapakay,harish shankar,ravi teja richa gangopadhyay deeksha seth,Action Comedy,mirapakay harish shankar ravi teja richa gangopadhyay deeksha seth Action Comedy
anaganaga o dheerudu,prakash kovelamudi,siddharth shruti haasan lakshmi manchu,Adventure Fantasy Action Family,anaganaga o dheerudu prakash kovelamudi siddharth shruti haasan lakshmi manchu Adventure Fantasy Action Family
golconda high school,mohan krishna indraganti,sumanth swati reddy,un_known,golconda high school mohan krishna indraganti sumanth swati reddy un_known
ala modalaindi,nandini reddy,nani nithya menen,Romance Drama,ala modalaindi nandini reddy nani nithya menen Romance Drama
wanted,bvs ravi,gopichand deeksha seth prakash raj nassar jayasudha,Drama Thriller,wanted bvs ravi gopichand deeksha seth prakash raj nassar jayasudha Drama Thriller
vaareva,kalyan mantena,vassudev reddy shambhavi,un_known,vaareva kalyan mantena vassudev reddy shambhavi un_known
rakshana,venu pal,rajiv kanakala karan parineeta,Action Romance,rakshana venu pal rajiv kanakala karan parineeta Action Romance
jai bolo telangana,n.shankar,jagapati babu sandeep meera nandan smriti irani k. chandrashekar rao,un_known,jai bolo telangana n.shankar jagapati babu sandeep meera nandan smriti irani k. chandrashekar rao un_known
koffee bar,geetha krishna,shashank bianca desai,un_known,koffee bar geetha krishna shashank bianca desai un_known
gaganam,radha mohan,akkineni nagarjuna poonam kaur prakash raj sana khan,Action Drama Thriller,gaganam radha mohan akkineni nagarjuna poonam kaur prakash raj sana khan Action Drama Thriller
vastadu naa raju,hemant madhukar,vishnu manchu taapsee pannu prakash raj,Comedy,vastadu naa raju hemant madhukar vishnu manchu taapsee pannu prakash raj Comedy
katha screenplay darsakatvam appalaraju,ram gopal varma,sunil swati reddy brahmanandam sakshi gulati,Drama,katha screenplay darsakatvam appalaraju ram gopal varma sunil swati reddy brahmanandam sakshi gulati Drama
aha naa pellanta!,veera brahmam,allari naresh ritu barmecha,un_known,aha naa pellanta! veera brahmam allari naresh ritu barmecha un_known
lbw life before wedding,praveen sattaru,abhijith pundla asif raj chinmayi ghatrazu nishanthi evani,Romance Comedy,lbw life before wedding praveen sattaru abhijith pundla asif raj chinmayi ghatrazu nishanthi evani Romance Comedy
kudirithe kappu coffee,ramana salva,varun sandesh suma bhattacharya,un_known,kudirithe kappu coffee ramana salva varun sandesh suma bhattacharya un_known
prema kavali,vijaya bhaskar. k,aadi sindhu tolani isha chawla,un_known,prema kavali vijaya bhaskar. k aadi sindhu tolani isha chawla un_known
bhale mogudu bhale pellam,dinesh baboo,rajendra prasad suhasini kaveri jha,un_known,bhale mogudu bhale pellam dinesh baboo rajendra prasad suhasini kaveri jha un_known
mangala,osho thulasi ram,charmy kaur pradeep rawat subhash,un_known,mangala osho thulasi ram charmy kaur pradeep rawat subhash un_known
thimmaraju,vemagiri,ali deepthi,un_known,thimmaraju vemagiri ali deepthi un_known
nitya pellikoduku,alahari,posani krishna murali apoorva gowri pandit,un_known,nitya pellikoduku alahari posani krishna murali apoorva gowri pandit un_known
dongala mutha,ram gopal varma puri jagannadh,ravi teja charmy kaur prakash raj lakshmi manchu sunil,Thriller Crime Action,dongala mutha ram gopal varma puri jagannadh ravi teja charmy kaur prakash raj lakshmi manchu sunil Thriller Crime Action
raaj,v. n. aditya,sumanth priyamani vimala raman,Drama,raaj v. n. aditya sumanth priyamani vimala raman Drama
karalu miriyalu,pasupuleti venkata rama rao,navakesh madhu shalini,un_known,karalu miriyalu pasupuleti venkata rama rao navakesh madhu shalini un_known
