cast
Parth Suri Naina Ganguly
Nataraj Noorin Shereef Ankeeta R Maharanaa
Sreeram Karronya Katrynn Ajay Ghosh
Abhishek Reddy Sakshi Sidiya Kavya
Mahesh Babu Rashmika Mandanna Vijayashanti Prakash Raj Rajendra Prasad Rao Ramesh Posani Krishna Murali Brahmaji Tanikella Bharani Vennela Kishore
Allu Arjun Pooja Hegde Tabu Jayaram Sushanth Navdeep Nivetha Pethuraj Samuthirakani Murali Sharma Rajendra Prasad
Kalyan Ram Mehreen Pirzada Naresh Sarath Babu Suhasini Maniratnam Vijayakumar Baladitya Vennela Kishore Rajeev Kanakala Pavitra Lokesh
Adith Arun Sapthagiri Madhunandan Simran Gupta
Ravi Teja Payal Rajput Nabha Natesh Tanya Hope Bobby Simha Sunil Vennela Kishore Satya Ramki Naresh
Pavan Krishna Supraja Getup Srinu
Naga Shaurya Mehreen Pirzada Jisshu Sengupta Harish Uthaman Sargun Kaur Luthra Prince Cecil Aadarsh Balakrishna Posani Krishna Murali
Shiva Kandukuri Varsha Bollamma Malavika Satheesan Pavitra Lokesh Anish Kuruvilla Gururaj Manepalli Venkatesh Kakumanu Rajesh Khanna
Sharwanand Samantha Akkineni Sai Kiran Kumar Gouri G. Kishan Tanikella Bharani Vennela Kishore Raghu Babu Varsha Bollamma Saranya Pradeep
Sudigali Sudheer Getup Srinu Ram Prasad Karunya Chowdary Kautilya
Nandu Priyanka Sharma Srikanth Reddy Ganta Shiva Kumar Maddy
Varun Sri Divya Duvvasi Mohan Jayavani Srinivas Madan RK
Surya Sreenivas Sri Pallavi Sudharshan Ram Prasad Anish Kuruvilla
Vijay Deverakonda Raashi Khanna Catherine Tresa Aishwarya Rajesh Izabelle Leite
Punarnavi Bhupalam Sanjay Varma Naveen Neni Garima Singh
Sagar Sailesh Yeisha Adaraha Hrithika singh D.S.Rao
Raviteja Sravani Nikki Shruti Shetty
Nithin Rashmika Mandanna Anant Nag Jisshu Sengupta Vennela Kishore Sampath Raj Ajay Naresh Praveena Brahmaji
Sai Ronak Preethi Asrani Rahul Ramakrishna Rajai Rowan Tanikella Bharani Ravi Varma C.V.L. Narasimha Rao
Laksh Chadalavada Digangana Suryavanshi
Amith Indhu Cherukuri
Kriti Garg AbeRaam Varma Chalaki Chanti kalikeya Prabhakar
Vishwak Sen Ruhani Sharma Brahmaji Hari Teja Murli Sharma Bhanu Chander Ravi Varma
Mangli Chammak Chandra
Rajendra Prasad Rahul Vijay Priya Vadlamani Madhubala Nassar Manobala
Rakshit Nakshatra Raghu Kunche Thiruveer Laxman Meesala
Viswant Duddumpudi Sanjay Rao Nithya Shetty Brahmaji
Dhanya Balakrishna Komalee Prasad Siddhi Idnani Tridha Choudhury Raghu Babu Himaja Raghu Karumanchi Sameer Hasan
Pragathi Yadhati Vikram Shiva
Trishna Mukherjee Venkat Rahul Anish Kuruvilla Bikramjeet Kanwarpal
Rajasekhar Maryam Zakaria
Amitha Ranganath Ram Mittakanti
Navdeep Pujita Ponnada
Keerthy Suresh Linga Madhampatty Rangaraj
Siddu Jonnalagadda Shraddha Srinath Seerat Kapoor Shalini Vadnikatti
Satyadev Kancharana Pooja Jhaveri
Naveen Chandra Salony Luthra
Satyadev Kancharana Naresh Suhas Raghavan Hari Chandana Roopa Koduvayur Ravindra Vijay Jabardasth Ramprasad TNR
Esther Anil Ankith Koyya Naina Ganguly Easwari Rao Subhalekha Sudhakar
Drishika Chander Ravi Varma
Nani Sudheer Babu Nivetha Thomas Aditi Rao Hydari Vennela Kishore
Vijay Ram Shivshakti Sachdev
Anushka Shetty Madhavan Michael Madsen Anjali Subbaraju Shalini Pandey Srinivas Avasarala
Raj Tarun Malavika Nair Hebah Patel
Suhas Chandini Chowdary Sunil
""
Bhargava Poludasu Rakesh Galebhe Poojitha Kuraparthi
Siddu Jonnalagadda Seerat Kapoor Tanikella Bharani
Chaitanya Krishna Payal Rajput
Anand Devarakonda Varsha Bollamma
Abhinay Reddy Syed Sumaya Farahath
Chandini Chowdary Sai Sushanth Reddy Simran Choudhary
Dandamudi Pruthvi Maira Doshi Anand Satya
Satyadev Kancharana Priyaa Lal Chaitanya Madhumita
Shravan Reddy Ruhani Sharma Ajay
Avancha Sahiti Krishnaswamy Srikanth
Sai Dharam Tej Nabha Natesh Rajendra Prasad
""
