Title,Director,Cast,genres,combo
a1 express,dennis jeevan kanukolanu,sundeep kishanlavanya tripathirao rameshmurali sharmaposani krishna muralipriyadarshi pulikondaraghu babusatyasriranjinikhayyumabhijeeth poondla,Drama Family,a1 express dennis jeevan kanukolanu sundeep kishanlavanya tripathirao rameshmurali sharmaposani krishna muralipriyadarshi pulikondaraghu babusatyasriranjinikhayyumabhijeeth poondla Drama Family
april 28 em jarigindi,veera swamy.g,raja ranjithsherry agarwaltanikella bharaniajayrajeev kanakalachammak chandra,Horror Thriller Drama,april 28 em jarigindi veera swamy.g raja ranjithsherry agarwaltanikella bharaniajayrajeev kanakalachammak chandra Horror Thriller Drama
power play,vijay kumar konda,raj tarunhemal ingleshamna kasimprince cecilkota srinivasa raosatyam rajeshajay (actor),Action Thriller,power play vijay kumar konda raj tarunhemal ingleshamna kasimprince cecilkota srinivasa raosatyam rajeshajay (actor) Action Thriller
playback,jakka hari prasad,dinesh tejspandana palliananya nagallaarjun kalyanthagubothu rameshgautam rajutnrsurya (telugu actor)ananda chakrapaniaishwarya lekshmikarthikeya krishna malladiashok vardhanmurthy journalist,Horror Thriller,playback jakka hari prasad dinesh tejspandana palliananya nagallaarjun kalyanthagubothu rameshgautam rajutnrsurya (telugu actor)ananda chakrapaniaishwarya lekshmikarthikeya krishna malladiashok vardhanmurthy journalist Horror Thriller
sreekaram,kishore reddy,sharwanandpriyanka arul mohansai kumarrao rameshmurali sharmanareshaamanisaptagirisatya,Drama,sreekaram kishore reddy sharwanandpriyanka arul mohansai kumarrao rameshmurali sharmanareshaamanisaptagirisatya Drama
gaali sampath,anish krishna,sree vishnurajendra prasadtanikella bharanisrikanth aiyyangarraghu babumirchi kirankarate kalyanisatyaanish kuruvillarajitha,Comedy Drama Family,gaali sampath anish krishna sree vishnurajendra prasadtanikella bharanisrikanth aiyyangarraghu babumirchi kirankarate kalyanisatyaanish kuruvillarajitha Comedy Drama Family
jathi ratnalu,anudeep k v,naveen polishettypriyadarshi pulikondarahul ramakrishnamurali sharmabrahmajitanikella bharanivennela kishorefaria abdullahnaresh vk,Comedy Drama,jathi ratnalu anudeep k v naveen polishettypriyadarshi pulikondarahul ramakrishnamurali sharmabrahmajitanikella bharanivennela kishorefaria abdullahnaresh vk Comedy Drama
chaavu kaburu challaga,koushik pegallapati,kartikeya gummakondalavanya tripathiaamanisrikanth iyyengar,un_known,chaavu kaburu challaga koushik pegallapati kartikeya gummakondalavanya tripathiaamanisrikanth iyyengar un_known
idhe maa katha,guru pawan,sumanth ashwinbhumika chawlasrikanthtanya hopesaptagirisubbarajuprudhvi rajram prasad,un_known,idhe maa katha guru pawan sumanth ashwinbhumika chawlasrikanthtanya hopesaptagirisubbarajuprudhvi rajram prasad un_known
sashi,nadikatla srinivas naidu,aadhi pudipeddisurbhi puraniktulasiharsha chemuduvennela kishoresudarshanrajeev kanakalaajay,un_known,sashi nadikatla srinivas naidu aadhi pudipeddisurbhi puraniktulasiharsha chemuduvennela kishoresudarshanrajeev kanakalaajay un_known
rang de,venky atluri,nithiinkeerthy sureshnareshkausalyarohinibrahmajivennela kishoresuhasabhinav gomatam,un_known,rang de venky atluri nithiinkeerthy sureshnareshkausalyarohinibrahmajivennela kishoresuhasabhinav gomatam un_known
aranya,prabhu solomon,rana daggubativishnu vishalraghu babuzoya hussainshriya pilgaonkarsampath ramashvin rajatinnu anand,Family TV Movie Drama,aranya prabhu solomon rana daggubativishnu vishalraghu babuzoya hussainshriya pilgaonkarsampath ramashvin rajatinnu anand Family TV Movie Drama
thellavarithe guruvaram,manikanth gelli,sri simhaharsha chemuduajayravi varmachitra shuklarajeev kanakalasatyasaranya pradeepvajja venkata giridharmourya,un_known,thellavarithe guruvaram manikanth gelli sri simhaharsha chemuduajayravi varmachitra shuklarajeev kanakalasatyasaranya pradeepvajja venkata giridharmourya un_known
yuvarathnaa,santhosh ananddram,puneeth rajkumarsayyeshaasonu gowdadhananjayprakash rajraadhika,Action,yuvarathnaa santhosh ananddram puneeth rajkumarsayyeshaasonu gowdadhananjayprakash rajraadhika Action
seetimaarr,sampath nandi,gopichandtamannaahdigangana suryavanshibhumika chawlarahmantarun arorarao rameshposani krishna muralitanikella bharanipreethi asraniakhil sarthakrohith prathak,Action Drama,seetimaarr sampath nandi gopichandtamannaahdigangana suryavanshibhumika chawlarahmantarun arorarao rameshposani krishna muralitanikella bharanipreethi asraniakhil sarthakrohith prathak Action Drama
wild dog,ashishor solomon,nagarjunadia mirzasaiyami kher,Action Thriller,wild dog ashishor solomon nagarjunadia mirzasaiyami kher Action Thriller
vakeel saab,venu sriram,pawan kalyananjalinivetha thomasprakash rajshruti haasanmukesh rishidev gillnareshsubbarajuvamsi krishnaananda chakrapaniananya nagalla,Action Drama Thriller,vakeel saab venu sriram pawan kalyananjalinivetha thomasprakash rajshruti haasanmukesh rishidev gillnareshsubbarajuvamsi krishnaananda chakrapaniananya nagalla Action Drama Thriller
love story,sekhar kammula,naga chaitanyasai pallavidevayanirao rameshposani krishna muralirajeev kanakalaeaswari raosatyam rajeshthagubothu ramesh,Thriller Drama,love story sekhar kammula naga chaitanyasai pallavidevayanirao rameshposani krishna muralirajeev kanakalaeaswari raosatyam rajeshthagubothu ramesh Thriller Drama
tuck jagadish,shiva nirvana,nanijagapathi babuaishwarya rajeshritu varmanassardaniel balajirao rameshnareshpraveenrohinidevadarshinithiruveer,Drama,tuck jagadish shiva nirvana nanijagapathi babuaishwarya rajeshritu varmanassardaniel balajirao rameshnareshpraveenrohinidevadarshinithiruveer Drama
thalaivi,a. l. vijay,kangana ranautarvind swamiprakash rajjisshu senguptapoornamadhoobhagyashreesamuthirakanividya pradeepnassar,History,thalaivi a. l. vijay kangana ranautarvind swamiprakash rajjisshu senguptapoornamadhoobhagyashreesamuthirakanividya pradeepnassar History
virata parvam,venu udugula,sai pallavirana daggubatipriyamaninandita dasnaveen chandrazarina wahabeaswari raosai chand,un_known,virata parvam venu udugula sai pallavirana daggubatipriyamaninandita dasnaveen chandrazarina wahabeaswari raosai chand un_known
paagal,naresh reddy kuppili,vishwak sennivetha pethuraj,Comedy Action,paagal naresh reddy kuppili vishwak sennivetha pethuraj Comedy Action
acharya,koratala siva,chiranjeevikajal aggarwalram charanpooja hegdesonu sood,History Music,acharya koratala siva chiranjeevikajal aggarwalram charanpooja hegdesonu sood History Music
naarappa,srikanth addala,venkateshpriyamanikarthik rathnamprakash rajmurali sharmasampath rajrao rameshrajeev kanakalavasishta n. simha,Drama Action,naarappa srikanth addala venkateshpriyamanikarthik rathnamprakash rajmurali sharmasampath rajrao rameshrajeev kanakalavasishta n. simha Drama Action
khiladi,ramesh varma,ravi tejaarjun sarjameenakshi chaudharydimple hayathi,un_known,khiladi ramesh varma ravi tejaarjun sarjameenakshi chaudharydimple hayathi un_known
bb3,boyapati srinu,nandamuri balakrishnapragya jaiswalsrikanthpoornaviji chandrasekhar,Action Romance,bb3 boyapati srinu nandamuri balakrishnapragya jaiswalsrikanthpoornaviji chandrasekhar Action Romance
good luck sakhi,nagesh kukunoor,keerthy sureshaadhi pinisettyjagapathi babu,Drama Romance,good luck sakhi nagesh kukunoor keerthy sureshaadhi pinisettyjagapathi babu Drama Romance
republic,deva katta,sai dharam tejaishwarya rajeshjagapathi baburamya krishnasubbarajurahul ramakrishna,un_known,republic deva katta sai dharam tejaishwarya rajeshjagapathi baburamya krishnasubbarajurahul ramakrishna un_known
most eligible bachelor,bhaskar,akhil akkinenipooja hegdeeesha rebbaaamanimurali sharmavennela kishorejayaprakashpragathiamit tiwarisudigali sudheergetup srinu,un_known,most eligible bachelor bhaskar akhil akkinenipooja hegdeeesha rebbaaamanimurali sharmavennela kishorejayaprakashpragathiamit tiwarisudigali sudheergetup srinu un_known
untitled andhadhun remake,merlapaka gandhi,nithiintamannaah bhatianabha natesh,un_known,untitled andhadhun remake merlapaka gandhi nithiintamannaah bhatianabha natesh un_known
major,sashi kiran tikka,adivi seshsobhita dhulipalasaiee manjrekarprakash rajrevathimurali sharma,Adventure Comedy Family,major sashi kiran tikka adivi seshsobhita dhulipalasaiee manjrekarprakash rajrevathimurali sharma Adventure Comedy Family
ghani,kiran korrapati,varun tejupendrasuniel shettyjagapathi babusaiee manjrekarnaveen chandra,Drama,ghani kiran korrapati varun tejupendrasuniel shettyjagapathi babusaiee manjrekarnaveen chandra Drama
radhe shyam,radha krishna kumar,prabhaspooja hegdekrishnam rajusachin khedekarpriyadarshi pulikondabhagyashreemurali sharma,Romance,radhe shyam radha krishna kumar prabhaspooja hegdekrishnam rajusachin khedekarpriyadarshi pulikondabhagyashreemurali sharma Romance
pushpa,sukumar,allu arjunrashmika mandannajagapathi babuprakash rajsunildhananjayharish uthamanvennela kishoreanasuya bharadwaj,un_known,pushpa sukumar allu arjunrashmika mandannajagapathi babuprakash rajsunildhananjayharish uthamanvennela kishoreanasuya bharadwaj un_known
maha samudram,ajay bhupathi,sharwanandsiddharthaditi rao hydarianu emmanuel,un_known,maha samudram ajay bhupathi sharwanandsiddharthaditi rao hydarianu emmanuel un_known
f3 : fun and frustration,anil ravipudi,venkateshvarun tejtamannaahmehreen pirzada,Comedy Romance,f3 : fun and frustration anil ravipudi venkateshvarun tejtamannaahmehreen pirzada Comedy Romance
liger,puri jagannadh,vijay deverakondaananya pandayramya krishnaalironit roymakarand deshpandegetup srinu,un_known,liger puri jagannadh vijay deverakondaananya pandayramya krishnaalironit roymakarand deshpandegetup srinu un_known
rrr,s. s. rajamouli,n. t. rama rao jrram charanajay devgnalia bhattsamuthirakaniolivia morrischatrapathi sekharray stevensonalison doodyspandan chaturvedichakrivarun buddhadev,Comedy,rrr s. s. rajamouli n. t. rama rao jrram charanajay devgnalia bhattsamuthirakaniolivia morrischatrapathi sekharray stevensonalison doodyspandan chaturvedichakrivarun buddhadev Comedy
