Title,Director,Cast,genres,combo
krack,gopichand malineni,ravi tejashruti haasanvaralaxmi sarathkumarsamuthirakanip. ravi shankarchirag janidevi prasadmouryani,un_known,krack gopichand malineni ravi tejashruti haasanvaralaxmi sarathkumarsamuthirakanip. ravi shankarchirag janidevi prasadmouryani un_known
mail,uday gurrala,priyadarshi pulikondaharshith malgireddymani aegurlagouripriya reddyyennengeeravinder bommakantivannarnsrikanth palleanusha netha,Comedy Romance,mail uday gurrala priyadarshi pulikondaharshith malgireddymani aegurlagouripriya reddyyennengeeravinder bommakantivannarnsrikanth palleanusha netha Comedy Romance
red,kishore tirumala,ram pothineninivetha pethurajmalvika sharmaamritha aiyersampath rajvennela kishorenassarposani krishna muralisonia aggarwalsatyapavitra lokeshnarra srinivascharandeep,Drama Thriller,red kishore tirumala ram pothineninivetha pethurajmalvika sharmaamritha aiyersampath rajvennela kishorenassarposani krishna muralisonia aggarwalsatyapavitra lokeshnarra srinivascharandeep Drama Thriller
alludu adhurs,santhosh srinivas,bellamkonda sreenivasnabha nateshanu emmanuelsonu soodprakash raj,Romance Comedy,alludu adhurs santhosh srinivas bellamkonda sreenivasnabha nateshanu emmanuelsonu soodprakash raj Romance Comedy
cycle,aatla arjun reddy,punarnavi bhupalammahat raghavendrasudarshanswetha varmaannapoorna,Drama,cycle aatla arjun reddy punarnavi bhupalammahat raghavendrasudarshanswetha varmaannapoorna Drama
super over,praveen varma,naveen chandrachandini chowdaryajayharsha chemudurakendu moulipraveen,Thriller,super over praveen varma naveen chandrachandini chowdaryajayharsha chemudurakendu moulipraveen Thriller
bangaru bullodu,p. v. giri,allari nareshpooja jhaveriposani krishna muraliajay ghoshvennela kishoretanikella bharanisatyam rajeshprudhvi raj,un_known,bangaru bullodu p. v. giri allari nareshpooja jhaveriposani krishna muraliajay ghoshvennela kishoretanikella bharanisatyam rajeshprudhvi raj un_known
30 rojullo preminchadam ela,munna,pradeep machirajuamritha aiyerharsha chemudusubhalekha sudhakarposani krishna muralihemabhadramhyper aadisivannarayana naripeddisruthi,un_known,30 rojullo preminchadam ela munna pradeep machirajuamritha aiyerharsha chemudusubhalekha sudhakarposani krishna muralihemabhadramhyper aadisivannarayana naripeddisruthi un_known
amma deevena,shiva eturi,aamaniposani krishna muraliajay ghosh,un_known,amma deevena shiva eturi aamaniposani krishna muraliajay ghosh un_known
annapurnamma gari manavadu,narra shiva nageswara rao,baladithyaveda sastryvikram charyvijayendra,Family Drama,annapurnamma gari manavadu narra shiva nageswara rao baladithyaveda sastryvikram charyvijayendra Family Drama
cheppina evaru nammaru,aaryan krishna,aaryan krishnasupyardee singhvikram charyvijayendra,Action,cheppina evaru nammaru aaryan krishna aaryan krishnasupyardee singhvikram charyvijayendra Action
jai sena,v. samudra,srikanthsunilsreeramtaraka ratna,Action Drama,jai sena v. samudra srikanthsunilsreeramtaraka ratna Action Drama
mr & miss,ashok reddy,sailesh sunnygnaneswari kandregula,un_known,mr & miss ashok reddy sailesh sunnygnaneswari kandregula un_known
kalaposhakulu,chalapathy puvvula,vishva karthikeyadeepagemini sureshananthkrishnaveni,un_known,kalaposhakulu chalapathy puvvula vishva karthikeyadeepagemini sureshananthkrishnaveni un_known
madhura wines,bandi jayakishore,naveen kumar reddysahasra reddytumuluri sammohitkommuri leela venkatesh,un_known,madhura wines bandi jayakishore naveen kumar reddysahasra reddytumuluri sammohitkommuri leela venkatesh un_known
zombie reddy,prasanth varma,sajja tejaanandhiharsha vardhanraghu babudaksha nagarkarprudhvi rajraghu karumanchikireeti damarajuannapoornavitta mahesh,Horror,zombie reddy prasanth varma sajja tejaanandhiharsha vardhanraghu babudaksha nagarkarprudhvi rajraghu karumanchikireeti damarajuannapoornavitta mahesh Horror
pranavum,kumar g,sree mangamavantika harigayatri iyergemini sureshshashank,un_known,pranavum kumar g sree mangamavantika harigayatri iyergemini sureshshashank un_known
g- zombie,aryandeepu,aryan gowradivya pandey,Horror Fantasy Comedy,g- zombie aryandeepu aryan gowradivya pandey Horror Fantasy Comedy
uppena,bucchi babu sana,panja vaisshnav tejkrithi shettyvijay sethupathi,Drama,uppena bucchi babu sana panja vaisshnav tejkrithi shettyvijay sethupathi Drama
fcuk: father chitti umaa kaarthik,vidya sagar raju,jagapathi babuammu abhiramiram karthikbaby sahrashitaalirajithakrishna bhagavaanbrahmajirajaram prasad,un_known,fcuk: father chitti umaa kaarthik vidya sagar raju jagapathi babuammu abhiramiram karthikbaby sahrashitaalirajithakrishna bhagavaanbrahmajirajaram prasad un_known
pogaru,nanda kishore,dhruva sarjarashmika mandannadhananjayraghavendra rajkumarp. ravi shankarsadhu kokilakuri prathapmirnalini ravimayuri kyataridharma,un_known,pogaru nanda kishore dhruva sarjarashmika mandannadhananjayraghavendra rajkumarp. ravi shankarsadhu kokilakuri prathapmirnalini ravimayuri kyataridharma un_known
pitta kathalu,nag ashwinb. v. nandini reddytharun bhasckersankalp reddy,shruti haasaneesha rebbaamala paullakshmi manchujagapathi babusaanve megghanasanjith hegdeashwin kakumanusatyadev kancharanasrinivas avasaralaanish kuruvillaashima narwalthanmayi,Drama,pitta kathalu nag ashwinb. v. nandini reddytharun bhasckersankalp reddy shruti haasaneesha rebbaamala paullakshmi manchujagapathi babusaanve megghanasanjith hegdeashwin kakumanusatyadev kancharanasrinivas avasaralaanish kuruvillaashima narwalthanmayi Drama
naandhi,vijay kanakamedala,allari nareshvaralaxmi sarathkumarpriyadarshi pulikonda harish uthamanpraveen,un_known,naandhi vijay kanakamedala allari nareshvaralaxmi sarathkumarpriyadarshi pulikonda harish uthamanpraveen un_known
kapatadhaari,pradeep krishnamoorthy,sumanthnandita swethanassarjayaprakashvennela kishoresuman ranganathan j. satish kumar,Crime Thriller,kapatadhaari pradeep krishnamoorthy sumanthnandita swethanassarjayaprakashvennela kishoresuman ranganathan j. satish kumar Crime Thriller
a: ad infitium,ugandhar muni,nithin prasannapreethi asranibaby deevenarangadamkrishna venibharadwaj,un_known,a: ad infitium ugandhar muni nithin prasannapreethi asranibaby deevenarangadamkrishna venibharadwaj un_known
check,chandra sekhar yeleti,nithiinrakul preet singhpriya prakash varriersampath raj,Comedy Family,check chandra sekhar yeleti nithiinrakul preet singhpriya prakash varriersampath raj Comedy Family
akshara,b.chinni krishna,nandita swethaajay ghoshshakalaka shankark. sivasankarsatyamadhunandan,Crime Drama Thriller,akshara b.chinni krishna nandita swethaajay ghoshshakalaka shankark. sivasankarsatyamadhunandan Crime Drama Thriller
ninnila ninnila,ani i v sasi,ashok selvannithya menonritu varmanassarsatya,Comedy Romance,ninnila ninnila ani i v sasi ashok selvannithya menonritu varmanassarsatya Comedy Romance
