Title,Director,Cast,genres,combo
anaganaga o athdhi,dayal padmanabhan,Chaitanya Krishna Payal Rajput,un_known,anaganaga o athdhi dayal padmanabhan Chaitanya Krishna Payal Rajput un_known
middle class melodies,vinod ananthoju,Anand Devarakonda Varsha Bollamma,Comedy Drama Romance,middle class melodies vinod ananthoju Anand Devarakonda Varsha Bollamma Comedy Drama Romance
meka suri 2,trinadh velisala,Abhinay Reddy Syed Sumaya Farahath,Crime Thriller,meka suri 2 trinadh velisala Abhinay Reddy Syed Sumaya Farahath Crime Thriller
bombhaat,raghavendra varma,Chandini Chowdary Sai Sushanth Reddy Simran Choudhary,Action Drama Science Fiction,bombhaat raghavendra varma Chandini Chowdary Sai Sushanth Reddy Simran Choudhary Action Drama Science Fiction
iit krishnamurthy,sree vardhan,Dandamudi Pruthvi Maira Doshi Anand Satya,un_known,iit krishnamurthy sree vardhan Dandamudi Pruthvi Maira Doshi Anand Satya un_known
guvva gorinka,bammidi mohan,Satyadev Kancharana Priyaa Lal Chaitanya Madhumita,Romance,guvva gorinka bammidi mohan Satyadev Kancharana Priyaa Lal Chaitanya Madhumita Romance
dirty hari,m. s. raju,Shravan Reddy Ruhani Sharma Ajay,Thriller Romance,dirty hari m. s. raju Shravan Reddy Ruhani Sharma Ajay Thriller Romance
murder,anand chandra,Avancha Sahiti Krishnaswamy Srikanth,Drama Horror,murder anand chandra Avancha Sahiti Krishnaswamy Srikanth Drama Horror
solo brathuke so better,subbu,Sai Dharam Tej Nabha Natesh Rajendra Prasad,Comedy Romance,solo brathuke so better subbu Sai Dharam Tej Nabha Natesh Rajendra Prasad Comedy Romance
oka yodhudu,haari,,un_known,
