index,Title,Director,Cast,genres,combo
0,graduate,prasad rayala,akshay rithika sood tashu kaushik,Comedy Drama,graduate prasad rayala akshay rithika sood tashu kaushik Comedy Drama
1,parama veera chakra,dasari narayana rao,nandamuri balakrishna sheela amisha patel neha dhupia,un_known,parama veera chakra dasari narayana rao nandamuri balakrishna sheela amisha patel neha dhupia un_known
2,mirapakay,harish shankar,ravi teja richa gangopadhyay deeksha seth,Action Comedy,mirapakay harish shankar ravi teja richa gangopadhyay deeksha seth Action Comedy
3,anaganaga o dheerudu,prakash kovelamudi,siddharth shruti haasan lakshmi manchu,Adventure Fantasy Action Family,anaganaga o dheerudu prakash kovelamudi siddharth shruti haasan lakshmi manchu Adventure Fantasy Action Family
4,golconda high school,mohan krishna indraganti,sumanth swati reddy,un_known,golconda high school mohan krishna indraganti sumanth swati reddy un_known
5,ala modalaindi,nandini reddy,nani nithya menen,Romance Drama,ala modalaindi nandini reddy nani nithya menen Romance Drama
6,wanted,bvs ravi,gopichand deeksha seth prakash raj nassar jayasudha,Drama Thriller,wanted bvs ravi gopichand deeksha seth prakash raj nassar jayasudha Drama Thriller
7,vaareva,kalyan mantena,vassudev reddy shambhavi,un_known,vaareva kalyan mantena vassudev reddy shambhavi un_known
8,rakshana,venu pal,rajiv kanakala karan parineeta,Action Romance,rakshana venu pal rajiv kanakala karan parineeta Action Romance
9,jai bolo telangana,n.shankar,jagapati babu sandeep meera nandan smriti irani k. chandrashekar rao,un_known,jai bolo telangana n.shankar jagapati babu sandeep meera nandan smriti irani k. chandrashekar rao un_known
10,koffee bar,geetha krishna,shashank bianca desai,un_known,koffee bar geetha krishna shashank bianca desai un_known
11,gaganam,radha mohan,akkineni nagarjuna poonam kaur prakash raj sana khan,Action Drama Thriller,gaganam radha mohan akkineni nagarjuna poonam kaur prakash raj sana khan Action Drama Thriller
12,vastadu naa raju,hemant madhukar,vishnu manchu taapsee pannu prakash raj,Comedy,vastadu naa raju hemant madhukar vishnu manchu taapsee pannu prakash raj Comedy
13,katha screenplay darsakatvam appalaraju,ram gopal varma,sunil swati reddy brahmanandam sakshi gulati,Drama,katha screenplay darsakatvam appalaraju ram gopal varma sunil swati reddy brahmanandam sakshi gulati Drama
14,aha naa pellanta!,veera brahmam,allari naresh ritu barmecha,un_known,aha naa pellanta! veera brahmam allari naresh ritu barmecha un_known
15,lbw life before wedding,praveen sattaru,abhijith pundla asif raj chinmayi ghatrazu nishanthi evani,Romance Comedy,lbw life before wedding praveen sattaru abhijith pundla asif raj chinmayi ghatrazu nishanthi evani Romance Comedy
16,kudirithe kappu coffee,ramana salva,varun sandesh suma bhattacharya,un_known,kudirithe kappu coffee ramana salva varun sandesh suma bhattacharya un_known
17,prema kavali,vijaya bhaskar. k,aadi sindhu tolani isha chawla,un_known,prema kavali vijaya bhaskar. k aadi sindhu tolani isha chawla un_known
18,bhale mogudu bhale pellam,dinesh baboo,rajendra prasad suhasini kaveri jha,un_known,bhale mogudu bhale pellam dinesh baboo rajendra prasad suhasini kaveri jha un_known
19,mangala,osho thulasi ram,charmy kaur pradeep rawat subhash,un_known,mangala osho thulasi ram charmy kaur pradeep rawat subhash un_known
20,thimmaraju,vemagiri,ali deepthi,un_known,thimmaraju vemagiri ali deepthi un_known
21,nitya pellikoduku,alahari,posani krishna murali apoorva gowri pandit,un_known,nitya pellikoduku alahari posani krishna murali apoorva gowri pandit un_known
22,dongala mutha,ram gopal varma puri jagannadh,ravi teja charmy kaur prakash raj lakshmi manchu sunil,Thriller Crime Action,dongala mutha ram gopal varma puri jagannadh ravi teja charmy kaur prakash raj lakshmi manchu sunil Thriller Crime Action
23,raaj,v. n. aditya,sumanth priyamani vimala raman,Drama,raaj v. n. aditya sumanth priyamani vimala raman Drama
24,karalu miriyalu,pasupuleti venkata rama rao,navakesh madhu shalini,un_known,karalu miriyalu pasupuleti venkata rama rao navakesh madhu shalini un_known
25,chattam,arun prasad p. a.,jagapathi babu vimala raman ashish vidyarthi,Crime,chattam arun prasad p. a. jagapathi babu vimala raman ashish vidyarthi Crime
26,sakthi,meher ramesh,jr. ntr ileana d'cruz prabhu manjari phadnis jackie shroff pooja bedi ali brahmanandam,Thriller Horror,sakthi meher ramesh jr. ntr ileana d'cruz prabhu manjari phadnis jackie shroff pooja bedi ali brahmanandam Thriller Horror
27,manchivadu,deepthi,tanish bhama k. vishwanath chandramohan,un_known,manchivadu deepthi tanish bhama k. vishwanath chandramohan un_known
28,lokame kothaga,bharath parepalli,shivaji aditi agarwal,un_known,lokame kothaga bharath parepalli shivaji aditi agarwal un_known
29,teen maar,jayanth c. paranjee,pawan kalyan trisha krishnan kriti kharbanda,Drama,teen maar jayanth c. paranjee pawan kalyan trisha krishnan kriti kharbanda Drama
30,galli kurrolu,sai venkat,naga varma shefali sharma,un_known,galli kurrolu sai venkat naga varma shefali sharma un_known
31,mr. perfect,dasrath,prabhas kajal aggarwal taapsee pannu prakash raj,Romance Comedy,mr. perfect dasrath prabhas kajal aggarwal taapsee pannu prakash raj Romance Comedy
32,nenu naa rakshasi,puri jagannadh,rana daggubati ileana d'cruz abhimanyu singh mumaith khan,Action Drama,nenu naa rakshasi puri jagannadh rana daggubati ileana d'cruz abhimanyu singh mumaith khan Action Drama
33,100% love,sukumar,naga chaitanya tamannaah bhatia tara alisha,Comedy Drama Romance,100% love sukumar naga chaitanya tamannaah bhatia tara alisha Comedy Drama Romance
34,seema tapakai,g. nageshwar reddy,allari naresh poorna,Comedy,seema tapakai g. nageshwar reddy allari naresh poorna Comedy
35,veera,ramesh varma,ravi teja kajal aggarwal taapsee pannu,Action Comedy Drama,veera ramesh varma ravi teja kajal aggarwal taapsee pannu Action Comedy Drama
36,dussasana,posani krishna murali,srikanth sanjana tashu kaushik brahmanandam,Crime Thriller,dussasana posani krishna murali srikanth sanjana tashu kaushik brahmanandam Crime Thriller
37,vykuntapali,satyadeep reddy,krishnudu ajay ranadhir reddy tashu kaushik subbaraju,Action Comedy,vykuntapali satyadeep reddy krishnudu ajay ranadhir reddy tashu kaushik subbaraju Action Comedy
38,maaro,siddique,nitin meera chopra abbas kota srinivasa rao,Drama Action,maaro siddique nitin meera chopra abbas kota srinivasa rao Drama Action
39,prema sagaram,a. majeed,hasan shouri,un_known,prema sagaram a. majeed hasan shouri un_known
40,babloo,ravichandran reddy,mano tej aditi sharma mukul dev,un_known,babloo ravichandran reddy mano tej aditi sharma mukul dev un_known
41,badrinath,v.v. vinayak,allu arjun tamannaah bhatia prakash raj,Drama Comedy Romance,badrinath v.v. vinayak allu arjun tamannaah bhatia prakash raj Drama Comedy Romance
42,180,jayendra,siddharth nithya menen priya anand tanikella bharani mouli geetha,Documentary,180 jayendra siddharth nithya menen priya anand tanikella bharani mouli geetha Documentary
43,nagaram nidrapotunna vela,premraj,jagapathi babu charmee kaur sayaji shinde babu mohan m. s. narayana,un_known,nagaram nidrapotunna vela premraj jagapathi babu charmee kaur sayaji shinde babu mohan m. s. narayana un_known
44,brammigadi katha,eeshwar reddy,varun sandesh poonam kaur asmita sood brahmanandam,un_known,brammigadi katha eeshwar reddy varun sandesh poonam kaur asmita sood brahmanandam un_known
45,virodhi,neelakanta,srikanth kamalini mukherjee ajay,Drama Action,virodhi neelakanta srikanth kamalini mukherjee ajay Drama Action
46,key,nagendra prasad,jagapati babu,Horror Mystery Thriller,key nagendra prasad jagapati babu Horror Mystery Thriller
47,kodipunju,bvv choudhary,tanish anchal sabharwal roja,un_known,kodipunju bvv choudhary tanish anchal sabharwal roja un_known
48,sanchalanam,b v ramana reddy,kamalakar saikumar supreet,un_known,sanchalanam b v ramana reddy kamalakar saikumar supreet un_known
49,un_known,un_known,un_known,un_known,un_known un_known un_known un_known
50,kandireega,santosh srinivas,ram hansika motwani sonu sood aksha pardasany,Romance Comedy,kandireega santosh srinivas ram hansika motwani sonu sood aksha pardasany Romance Comedy
51,dhada,ajay bhuyan,naga chaitanya kajal aggarwal samiksha sreeram brahmanandam kelly dorjee,Crime Drama,dhada ajay bhuyan naga chaitanya kajal aggarwal samiksha sreeram brahmanandam kelly dorjee Crime Drama
52,mugguru,v. n. aditya,navdeep sivaji shraddha das srinivas avasarala sanjana reema sen,un_known,mugguru v. n. aditya navdeep sivaji shraddha das srinivas avasarala sanjana reema sen un_known
53,keratam,gautam patnaik,siddharth rajkumar rakul preet singh aishwarya,un_known,keratam gautam patnaik siddharth rajkumar rakul preet singh aishwarya un_known
54,daggaraga dooranga,ravi chavali,sumanth vedhika,un_known,daggaraga dooranga ravi chavali sumanth vedhika un_known
55,money money more money,j. d. chakravarthy,j. d. chakravarthy gajala brahmanandam asha saini,Comedy Drama,money money more money j. d. chakravarthy j. d. chakravarthy gajala brahmanandam asha saini Comedy Drama
56,aakasame haddu,raavicharan,navdeep rajeev saluri panchi bora,un_known,aakasame haddu raavicharan navdeep rajeev saluri panchi bora un_known
57,poru telangana,r. narayana murthy,r. narayana murthy,un_known,poru telangana r. narayana murthy r. narayana murthy un_known
58,vara prasad potti prasad,satya varanasi,srinivas avasarala vijay sai karina shah priya ahuja,Comedy,vara prasad potti prasad satya varanasi srinivas avasarala vijay sai karina shah priya ahuja Comedy
59,dookudu,srinu vaitla,mahesh babu samantha ruth prabhu sonu sood prakash raj,Action Drama Comedy,dookudu srinu vaitla mahesh babu samantha ruth prabhu sonu sood prakash raj Action Drama Comedy
60,madatha kaja,seetarama raju,allari naresh sneha ullal,Comedy Family,madatha kaja seetarama raju allari naresh sneha ullal Comedy Family
61,vankaya fry,chandramouli,sumith arora anu smrithi brahmanandam,un_known,vankaya fry chandramouli sumith arora anu smrithi brahmanandam un_known
62,oosaravelli,surender reddy,jr. ntr tamannaah shaam,Action,oosaravelli surender reddy jr. ntr tamannaah shaam Action
63,pilla zamindar,g. ashok,nani haripriya bindu madhavi,Comedy Drama,pilla zamindar g. ashok nani haripriya bindu madhavi Comedy Drama
64,nuvvila,ravi babu,havish ajay prasad barve vijay sai yami gautam sarayu remya nambeesan,Drama Romance Comedy,nuvvila ravi babu havish ajay prasad barve vijay sai yami gautam sarayu remya nambeesan Drama Romance Comedy
65,mogudu,krishna vamshi,gopichand taapsee pannu shraddha das,Family Drama,mogudu krishna vamshi gopichand taapsee pannu shraddha das Family Drama
66,oh my friend,venu sriram,siddarth shruti haasan navdeep hansika motwani,Romance,oh my friend venu sriram siddarth shruti haasan navdeep hansika motwani Romance
67,its my love story,madhura sreedhar,arvind krishna nikita narayan jayasudha sarath babu,Family Romance Drama,its my love story madhura sreedhar arvind krishna nikita narayan jayasudha sarath babu Family Romance Drama
68,sri rama rajyam,bapu,akkineni nageswara rao nandamuri balakrishna srikanth nayantara jayasudha k. r. vijaya saikumar,un_known,sri rama rajyam bapu akkineni nageswara rao nandamuri balakrishna srikanth nayantara jayasudha k. r. vijaya saikumar un_known
69,veedu theda,chinni krishna,nikhil siddharth pooja bose,Comedy Drama,veedu theda chinni krishna nikhil siddharth pooja bose Comedy Drama
70,solo,parashuram,nara rohit nisha aggarwal prakash raj,Science Fiction Adventure,solo parashuram nara rohit nisha aggarwal prakash raj Science Fiction Adventure
71,bejawada,vivek krishna,naga chaitanya amala paul prabhu abhimanyu singh mukul dev ajay brahmanandam kota srinivasa rao,Action Drama Crime,bejawada vivek krishna naga chaitanya amala paul prabhu abhimanyu singh mukul dev ajay brahmanandam kota srinivasa rao Action Drama Crime
72,panjaa,vishnuvardhan,pawan kalyan sarah jane dias jackie shroff anjali lavania adivi sesh atul kulkarni,Action,panjaa vishnuvardhan pawan kalyan sarah jane dias jackie shroff anjali lavania adivi sesh atul kulkarni Action
73,priyudu,shravan,varun sandesh preetika rao shweta prasad,un_known,priyudu shravan varun sandesh preetika rao shweta prasad un_known
74,rajanna,vijayendra prasad,akkineni nagarjuna sneha shweta menon baby aney nassar pradeep rawat,Drama,rajanna vijayendra prasad akkineni nagarjuna sneha shweta menon baby aney nassar pradeep rawat Drama
75,kshetram,t. venugopal,jagapathi babu priyamani shaam,Romance Thriller Drama,kshetram t. venugopal jagapathi babu priyamani shaam Romance Thriller Drama
76,un_known,un_known,un_known,un_known,un_known un_known un_known un_known
77,un_known,un_known,un_known,un_known,un_known un_known un_known un_known
78,un_known,un_known,un_known,un_known,un_known un_known un_known un_known
79,un_known,un_known,un_known,un_known,un_known un_known un_known un_known
80,bachelors 2,jakir,jakir avinn mahabub bhasha rajsekhar tripti sharma ali,Comedy Drama,bachelors 2 jakir jakir avinn mahabub bhasha rajsekhar tripti sharma ali Comedy Drama
81,businessman,puri jagannadh,mahesh babu kajal aggarwal prakash raj nassar sayaji shinde,un_known,businessman puri jagannadh mahesh babu kajal aggarwal prakash raj nassar sayaji shinde un_known
82,bodyguard,gopichand malineni,venkatesh trisha krishnan saloni aswani prakash raj,Thriller Comedy Crime Action,bodyguard gopichand malineni venkatesh trisha krishnan saloni aswani prakash raj Thriller Comedy Crime Action
83,nandeeswarudu,srinu yajarala,taraka ratna sheena shahabadi rajeev kanakala,un_known,nandeeswarudu srinu yajarala taraka ratna sheena shahabadi rajeev kanakala un_known
84,ayyare,saagar chandra rajendra prasad sai kumar sivaji,drama romance,Drama,ayyare saagar chandra rajendra prasad sai kumar sivaji drama romance Drama
85,ramadandu,satish vegesna,krishnudu soumya bharath,un_known,ramadandu satish vegesna krishnudu soumya bharath un_known
86,love cheste,dhruva nag,vishnu manjulika siddhi mamre,un_known,love cheste dhruva nag vishnu manjulika siddhi mamre un_known
87,alibaba intlo andaru dongale,neelam k sekar,v ramana jyothi lal,un_known,alibaba intlo andaru dongale neelam k sekar v ramana jyothi lal un_known
88,dhoni,prakash raj,prakash raj aakash sriteja radhika apte,Drama,dhoni prakash raj prakash raj aakash sriteja radhika apte Drama
89,rushi,raj madiraju,arvind krishna supriya,Comedy Drama,rushi raj madiraju arvind krishna supriya Comedy Drama
90,siva manasulo sruthi,thathineni satya,sudheer babu regina cassandra,un_known,siva manasulo sruthi thathineni satya sudheer babu regina cassandra un_known
91,veerangam,vemuganti,suman shyamala ashish vidyarthi kota srinivasa rao,un_known,veerangam vemuganti suman shyamala ashish vidyarthi kota srinivasa rao un_known
92,love failure,balaji mohan,siddharth amala paul,Comedy Romance,love failure balaji mohan siddharth amala paul Comedy Romance
93,nippu,gunasekhar,ravi teja deeksha seth,Drama Comedy,nippu gunasekhar ravi teja deeksha seth Drama Comedy
94,poola rangadu,veerabhadram,sunil isha chawla kota srinivasa rao,Drama Comedy,poola rangadu veerabhadram sunil isha chawla kota srinivasa rao Drama Comedy
95,ishq,vikram kumar,nitin reddy nithya menon sindhu tolani,Action Comedy Drama Romance,ishq vikram kumar nitin reddy nithya menon sindhu tolani Action Comedy Drama Romance
96,my heart is beating,arun rudrakiran meegada,revanth rajitha rajasekhar srini kolla,un_known,my heart is beating arun rudrakiran meegada revanth rajitha rajasekhar srini kolla un_known
97,10th class lo,b. s. raju,sai srinivas shipra gaur,un_known,10th class lo b. s. raju sai srinivas shipra gaur un_known
98,mr. nookayya,ani kanneganti,manoj manchu kriti kharbanda sana khan,Action Comedy,mr. nookayya ani kanneganti manoj manchu kriti kharbanda sana khan Action Comedy
99,kulu manali,vignesha satish,vimala raman krishnudu shashank archana samiksha,un_known,kulu manali vignesha satish vimala raman krishnudu shashank archana samiksha un_known
100,nanda nanditha,ramshiva,surya pratap meghana raj hemachandran nassar,un_known,nanda nanditha ramshiva surya pratap meghana raj hemachandran nassar un_known
101,nuvva nena,p. narayana,allari naresh sharvanand shriya saran vimala raman,Comedy,nuvva nena p. narayana allari naresh sharvanand shriya saran vimala raman Comedy
102,prema pilustondi,ajay nathani,balu sindhu menon,un_known,prema pilustondi ajay nathani balu sindhu menon un_known
103,ding dong bell,madhusudan reddy,krishnudu shweta prasad bhanu sri mehra sumit arora,un_known,ding dong bell madhusudan reddy krishnudu shweta prasad bhanu sri mehra sumit arora un_known
104,naa ishtam,prakash toleti,rana daggubati genelia d'souza,Drama,naa ishtam prakash toleti rana daggubati genelia d'souza Drama
105,ee rojullo,maruthi,srinivas reshma,Romance Comedy,ee rojullo maruthi srinivas reshma Romance Comedy
106,seeta weds sriram,p.s.l,krishna chandra mohan uttej,un_known,seeta weds sriram p.s.l krishna chandra mohan uttej un_known
107,lovely,b. jaya,aadi shanvi,Drama Music,lovely b. jaya aadi shanvi Drama Music
108,balaraju aadi bammardi,rama krishna,aryan rajesh srihari shraddha arya,un_known,balaraju aadi bammardi rama krishna aryan rajesh srihari shraddha arya un_known
109,rachcha,sampath nandi,ram charan teja tamanna bhatia,Action,rachcha sampath nandi ram charan teja tamanna bhatia Action
110,neeku naaku dash dash,teja,prince nandita teertha tanikella bharani banerjee,un_known,neeku naaku dash dash teja prince nandita teertha tanikella bharani banerjee un_known
111,devasthanam,janardhana maharshi,k. viswanath s. p. balasubrahmanyam aamani kovai sarala,un_known,devasthanam janardhana maharshi k. viswanath s. p. balasubrahmanyam aamani kovai sarala un_known
112,friends book,r. p. patnaik,nischal uday archana sharma nisha shetty rao ramesh chalapathi rao,Music,friends book r. p. patnaik nischal uday archana sharma nisha shetty rao ramesh chalapathi rao Music
113,disco,hari k chanduri,nikhil siddharth sara sharma m. s. narayana,Comedy,disco hari k chanduri nikhil siddharth sara sharma m. s. narayana Comedy
114,nuvvekkadunte nenakkadunta,subha selvam,uday kiran shweta basu prasad brahmanandam,un_known,nuvvekkadunte nenakkadunta subha selvam uday kiran shweta basu prasad brahmanandam un_known
115,maa oorilo okasari emi jarigindante,chandu,kuntal sree siri,un_known,maa oorilo okasari emi jarigindante chandu kuntal sree siri un_known
116,anukokunda,raja narendra,shiva yogesh mythili maheshwari,Thriller,anukokunda raja narendra shiva yogesh mythili maheshwari Thriller
117,dammu,boyapati srinu,jr. ntr trisha krishnan karthika bhanupriya,Action Drama,dammu boyapati srinu jr. ntr trisha krishnan karthika bhanupriya Action Drama
118,gabbar singh,harish shankar,pawan kalyan shruti haasan abhimanyu singh suhasini maniratnam,un_known,gabbar singh harish shankar pawan kalyan shruti haasan abhimanyu singh suhasini maniratnam un_known
119,sashesam,sri kishore,vikram shekar supriya,un_known,sashesam sri kishore vikram shekar supriya un_known
120,guruvaram,vighna vinayak,rami reddy suman annapoorna babu mohan uttej,un_known,guruvaram vighna vinayak rami reddy suman annapoorna babu mohan uttej un_known
121,daruvu,siva,ravi teja taapsee pannu prabhu,Drama Action Comedy Fantasy,daruvu siva ravi teja taapsee pannu prabhu Drama Action Comedy Fantasy
122,yadartha prema katha,charan raj,amar chiri suman setty charan raj,un_known,yadartha prema katha charan raj amar chiri suman setty charan raj un_known
123,adhinayakudu,parachuri murali,nandamuri balakrishna lakshmi rai sukanya saloni aswani,un_known,adhinayakudu parachuri murali nandamuri balakrishna lakshmi rai sukanya saloni aswani un_known
124,endukante... premanta!,a. karunakaran,ram tamannaah richard rishi suman sayaji shinde,Romance,endukante... premanta! a. karunakaran ram tamannaah richard rishi suman sayaji shinde Romance
125,gandharvulu,gopal g. perumall,sunitha setty dhana swetha nair,un_known,gandharvulu gopal g. perumall sunitha setty dhana swetha nair un_known
126,naalo nenu,p. s. reddy,sampath raj rohit sri,un_known,naalo nenu p. s. reddy sampath raj rohit sri un_known
127,oka romantic crime katha,sunil kumar reddy,nandam sai anil gayatri divya swapna,Drama Romance Crime,oka romantic crime katha sunil kumar reddy nandam sai anil gayatri divya swapna Drama Romance Crime
128,maa abbai engineering student,srinivas guttula,naga siddhartha radhika,un_known,maa abbai engineering student srinivas guttula naga siddhartha radhika un_known
129,mem vayasuku vacham,trinadha rao nakkina,tanish neeti taylor rama prabha mahabub bhasha,un_known,mem vayasuku vacham trinadha rao nakkina tanish neeti taylor rama prabha mahabub bhasha un_known
130,all the best,j. d. chakravarthy,srikanth j. d. chakravarthy lucky sharma kota srinivasa rao brahmanandam,un_known,all the best j. d. chakravarthy srikanth j. d. chakravarthy lucky sharma kota srinivasa rao brahmanandam un_known
131,un_known,un_known,un_known,un_known,un_known un_known un_known un_known
132,eega,s. s. rajamouli,nani samantha sudeep,Fantasy Action Comedy,eega s. s. rajamouli nani samantha sudeep Fantasy Action Comedy
133,tuneega tuneega,m. s. raju,sumanth ashwin rhea chakraborty,Comedy Romance,tuneega tuneega m. s. raju sumanth ashwin rhea chakraborty Comedy Romance
134,uu kodathara? ulikki padathara?,sekhar raja,nandamuri balakrishna manoj manchu deeksha seth lakshmi manchu sonu sood,Action,uu kodathara? ulikki padathara? sekhar raja nandamuri balakrishna manoj manchu deeksha seth lakshmi manchu sonu sood Action
135,onamalu,kranthi madhav,rajendra prasad kalyani,Drama,onamalu kranthi madhav rajendra prasad kalyani Drama
136,mr. 7,s.r. charan reddy,jr. svr neelam upadhyay m. s. narayana srinivasa reddy,Family Comedy,mr. 7 s.r. charan reddy jr. svr neelam upadhyay m. s. narayana srinivasa reddy Family Comedy
137,julayi,trivikram srinivas,allu arjun ileana d'cruz sonu sood rajendra prasad,Action Comedy,julayi trivikram srinivas allu arjun ileana d'cruz sonu sood rajendra prasad Action Comedy
138,andala rakshasi,hanu raghavapudi,naveen chandra rahul ravindran lavanya tripathi,Romance Drama,andala rakshasi hanu raghavapudi naveen chandra rahul ravindran lavanya tripathi Romance Drama
139,devudu chesina manushulu,puri jagannadh,ravi teja ileana d'cruz prakash raj bramhanandam,Action Comedy Fantasy,devudu chesina manushulu puri jagannadh ravi teja ileana d'cruz prakash raj bramhanandam Action Comedy Fantasy
140,sudigadu,bhimaneni srinivasa rao,allari naresh monal gajjar brahmanandam ali m. s. narayana,Comedy,sudigadu bhimaneni srinivasa rao allari naresh monal gajjar brahmanandam ali m. s. narayana Comedy
141,srimannarayana,ravi chavali,nandamuri balakrishna parvati melton isha chawla,Fantasy Adventure Comedy,srimannarayana ravi chavali nandamuri balakrishna parvati melton isha chawla Fantasy Adventure Comedy
142,shirdi sai,k. raghavendra rao,akkineni nagarjuna srikanth kamalinee mukherjee,Drama,shirdi sai k. raghavendra rao akkineni nagarjuna srikanth kamalinee mukherjee Drama
143,life is beautiful,sekhar kammula,shriya saran amala anjala zaveri naveen polishetty abhijeet sudhakar kaushik zara rashmi kavya,Drama Romance,life is beautiful sekhar kammula shriya saran amala anjala zaveri naveen polishetty abhijeet sudhakar kaushik zara rashmi kavya Drama Romance
144,people's war,r. narayana murthy,r. narayana murthy srihari posani krishna murali,un_known,people's war r. narayana murthy r. narayana murthy srihari posani krishna murali un_known
145,vennela 1 1/2,vennela kishore,chaitanya krishna monal gajjar vennela kishore brahmanandam,un_known,vennela 1 1/2 vennela kishore chaitanya krishna monal gajjar vennela kishore brahmanandam un_known
146,avunu,ravi babu,poorna harshavardhan rane ravi babu,Romance Drama Family,avunu ravi babu poorna harshavardhan rane ravi babu Romance Drama Family
147,em babu laddu kavala,gandhi manohar,sivaji rachana maurya aditi agarwal m. s. narayana jeeva,un_known,em babu laddu kavala gandhi manohar sivaji rachana maurya aditi agarwal m. s. narayana jeeva un_known
148,rebel,raghava lawrence,prabhas tamannaah deeksha seth krishnam raju brahmanandam,Comedy Drama Family TV Movie,rebel raghava lawrence prabhas tamannaah deeksha seth krishnam raju brahmanandam Comedy Drama Family TV Movie
149,housefull,ajay bhuyan,vipin gowri pandit vega ali jeeva,Comedy Drama,housefull ajay bhuyan vipin gowri pandit vega ali jeeva Comedy Drama
150,sorry teacher,sri satya,kavya singh aryaman,un_known,sorry teacher sri satya kavya singh aryaman un_known
151,railway station,krishna maya,shiva sandeep jayanth shravani,TV Movie Drama Romance,railway station krishna maya shiva sandeep jayanth shravani TV Movie Drama Romance
152,cameraman gangatho rambabu,puri jagannadh,pawan kalyan tamannaah,Drama Action,cameraman gangatho rambabu puri jagannadh pawan kalyan tamannaah Drama Action
153,denikaina ready,g.nageswara reddy,vishnu manchu hansika motwani brahmanandam roja,Comedy Drama Family,denikaina ready g.nageswara reddy vishnu manchu hansika motwani brahmanandam roja Comedy Drama Family
154,dream,bhavani shankar k,rajendra prasad pavani reddy jayashree deepti,Crime Drama,dream bhavani shankar k rajendra prasad pavani reddy jayashree deepti Crime Drama
155,6,srikanth lingode,jagapati babu gayatri iyer satyam rajesh,Action Thriller,6 srikanth lingode jagapati babu gayatri iyer satyam rajesh Action Thriller
156,lucky,hari,srikanth meghana raj jayasudha roja brahmanandam,Action Comedy Crime Drama,lucky hari srikanth meghana raj jayasudha roja brahmanandam Action Comedy Crime Drama
157,bus stop,maruthi,prince cecil sri divya hasika rao ramesh,Drama Romance Comedy,bus stop maruthi prince cecil sri divya hasika rao ramesh Drama Romance Comedy
158,yuganiki okka premikudu,akash,akash shweta basu prasad kota srinivasa rao,un_known,yuganiki okka premikudu akash akash shweta basu prasad kota srinivasa rao un_known
159,sri vasavi vaibhavam,udaya bhaskar,meena suhasini suman sai kiran,un_known,sri vasavi vaibhavam udaya bhaskar meena suhasini suman sai kiran un_known
160,damarukam,srinivasa reddy,akkineni nagarjuna anushka shetty panchi bora prakash raj,Action Drama Fantasy,damarukam srinivasa reddy akkineni nagarjuna anushka shetty panchi bora prakash raj Action Drama Fantasy
161,routine love story,praveen sattaru,sundeep kishan regina cassandra m. s. narayana vennela kishore,Romance Comedy,routine love story praveen sattaru sundeep kishan regina cassandra m. s. narayana vennela kishore Romance Comedy
162,krishnam vande jagadgurum,krish,rana daggubati nayantara kota srinivasa rao posani krishna murali l.b. sriram,Action Crime,krishnam vande jagadgurum krish rana daggubati nayantara kota srinivasa rao posani krishna murali l.b. sriram Action Crime
163,mythri,surya raju,navdeep sadha brahmanandam uttej,Drama,mythri surya raju navdeep sadha brahmanandam uttej Drama
164,chanakyudu,g. srinivas,tanish ishitha kota srinivasa rao chandra mohan,un_known,chanakyudu g. srinivas tanish ishitha kota srinivasa rao chandra mohan un_known
165,devaraya,nani krishna,srikanth meenakshi dixit vidisha jaya prakash reddy,un_known,devaraya nani krishna srikanth meenakshi dixit vidisha jaya prakash reddy un_known
166,chaduvukovali,venkateswara rao maddali,seetha baby annie kota shankar rao,un_known,chaduvukovali venkateswara rao maddali seetha baby annie kota shankar rao un_known
167,swati i love you,santosh parlawar,santosh parlawar lasya,un_known,swati i love you santosh parlawar santosh parlawar lasya un_known
168,kittigadu,aditya pc,vishal kumar sai kiran surekha vani,un_known,kittigadu aditya pc vishal kumar sai kiran surekha vani un_known
169,yeto vellipoyindhi manasu,gautham menon,nani samantha krishnudu anupama kumar,Romance Drama,yeto vellipoyindhi manasu gautham menon nani samantha krishnudu anupama kumar Romance Drama
170,yamaho yama: in america,y. jitender,sairam shankar parvati melton srihari sanjjanaa,un_known,yamaho yama: in america y. jitender sairam shankar parvati melton srihari sanjjanaa un_known
171,sarocharu,parasuram,ravi teja kajal aggarwal richa gangopadhyay nara rohit,Drama Comedy,sarocharu parasuram ravi teja kajal aggarwal richa gangopadhyay nara rohit Drama Comedy
172,midhunam,tanikella bharani,s. p. balasubrahmanyam lakshmi,Drama,midhunam tanikella bharani s. p. balasubrahmanyam lakshmi Drama
173,agnatham,sridhar pokuru,kalyani subbaraju krishna bhagavaan jeeva,un_known,agnatham sridhar pokuru kalyani subbaraju krishna bhagavaan jeeva un_known
174,yamudiki mogudu,e. satti babu,allari naresh richa panai sayaji shinde ramya krishna naresh,Drama,yamudiki mogudu e. satti babu allari naresh richa panai sayaji shinde ramya krishna naresh Drama
175,ko antey koti,anish yohan kuruvilla,sharwanand priya anand sri hari,un_known,ko antey koti anish yohan kuruvilla sharwanand priya anand sri hari un_known
176,genius,anchor omkar,havish sanusha r. sarathkumar abhinaya,Science Fiction,genius anchor omkar havish sanusha r. sarathkumar abhinaya Science Fiction
177,sevakudu,v. samudra,srikanth charmy kaur krishna manjula swaroop,un_known,sevakudu v. samudra srikanth charmy kaur krishna manjula swaroop un_known
