index,Title,Director,Cast,genres,combo
1050,bhagyanagara veedullo gamattu,srinivasa reddy,srinivasa reddy dollysha vennela kishore satya shakalaka shankar chitram seenu suman setty raghu babu jhansi satyam rajesh viva harsha praveen racha ravi hyper aadi,un_known,bhagyanagara veedullo gamattu srinivasa reddy srinivasa reddy dollysha vennela kishore satya shakalaka shankar chitram seenu suman setty raghu babu jhansi satyam rajesh viva harsha praveen racha ravi hyper aadi un_known
1051,ashwamedham,nitin gawde,dhruva karunakar priyadarshi pulikonda vennela kishore suman sonyaa shivangi ambati arjun prachi,Action Romance Drama,ashwamedham nitin gawde dhruva karunakar priyadarshi pulikonda vennela kishore suman sonyaa shivangi ambati arjun prachi Action Romance Drama
1052,90ml,sekhar reddy yerra,kartikeya gummakonda neha solanki ravi kishan rao ramesh ali posani krishna murali ajay prabhakar satya prakash pragathi praveen raghu karumanchi nellore sudharshan thagubothu ramesh roll rida duvvasi mohan,Romance,90ml sekhar reddy yerra kartikeya gummakonda neha solanki ravi kishan rao ramesh ali posani krishna murali ajay prabhakar satya prakash pragathi praveen raghu karumanchi nellore sudharshan thagubothu ramesh roll rida duvvasi mohan Romance
1053,amma rajyam lo kadapa biddalu,ram gopal varma,ajmal ameer brahmanandam ali dheeraj kv dhananjay prabhune mahesh kathi swapna dhanraj prudhvi raj jaffar babu,Drama Thriller,amma rajyam lo kadapa biddalu ram gopal varma ajmal ameer brahmanandam ali dheeraj kv dhananjay prabhune mahesh kathi swapna dhanraj prudhvi raj jaffar babu Drama Thriller
1054,hulchul,sripathi karrl,rudhraksh utkamdhanya balakrishnakrishnudumadhunandanravi prakash,Comedy Drama Romance,hulchul sripathi karrl rudhraksh utkamdhanya balakrishnakrishnudumadhunandanravi prakash Comedy Drama Romance
1055,venky mama,k. s. ravindra,venkatesh naga chaitanya raashi khanna payal rajput,Family Comedy Drama Action,venky mama k. s. ravindra venkatesh naga chaitanya raashi khanna payal rajput Family Comedy Drama Action
1056,ruler,k. s. ravikumar,nandamuri balakrishna sonal chauhan vedhika prakash raj jayasudha bhumika chawla sayaji shinde nagineedu raghu babu srinivasa reddy,Adventure Animation Family,ruler k. s. ravikumar nandamuri balakrishna sonal chauhan vedhika prakash raj jayasudha bhumika chawla sayaji shinde nagineedu raghu babu srinivasa reddy Adventure Animation Family
1057,prati roju pandage,maruthi dasari,sai dharam tej raashi khanna sathyaraj rao ramesh vijayakumar murali sharma ajay hari teja satyam rajesh bharath reddy suhas,Family Romance Comedy,prati roju pandage maruthi dasari sai dharam tej raashi khanna sathyaraj rao ramesh vijayakumar murali sharma ajay hari teja satyam rajesh bharath reddy suhas Family Romance Comedy
1058,iddari lokam okate,g. r. krishna,raj tarun shalini pandey nassar master bharath,Drama Romance,iddari lokam okate g. r. krishna raj tarun shalini pandey nassar master bharath Drama Romance
1059,mathu vadalara,ritesh rana,sri simha naresh agastya athulya chandra vennela kishore satya brahmaji,Crime Comedy Thriller,mathu vadalara ritesh rana sri simha naresh agastya athulya chandra vennela kishore satya brahmaji Crime Comedy Thriller
1060,software sudheer,p. rajasekhar reddy,sudigali sudheer dhanya balakrishna nassar sayaji shinde indraja posani krishna murali siva prasad,Comedy Drama Romance,software sudheer p. rajasekhar reddy sudigali sudheer dhanya balakrishna nassar sayaji shinde indraja posani krishna murali siva prasad Comedy Drama Romance
1061,beautiful,agasthya manju,Parth Suri Naina Ganguly,Drama,beautiful agasthya manju Parth Suri Naina Ganguly Drama
1062,oollalla oollalla,satya prakash,Nataraj Noorin Shereef Ankeeta R Maharanaa,un_known,oollalla oollalla satya prakash Nataraj Noorin Shereef Ankeeta R Maharanaa un_known
1063,utthara,sr thirupathi,Sreeram Karronya Katrynn Ajay Ghosh,un_known,utthara sr thirupathi Sreeram Karronya Katrynn Ajay Ghosh un_known
1064,wifei,gssp kalyan,Abhishek Reddy Sakshi Sidiya Kavya,Comedy,wifei gssp kalyan Abhishek Reddy Sakshi Sidiya Kavya Comedy
1065,sarileru neekevvaru,anil ravipudi,Mahesh Babu Rashmika Mandanna Vijayashanti Prakash Raj Rajendra Prasad Rao Ramesh Posani Krishna Murali Brahmaji Tanikella Bharani Vennela Kishore,Action,sarileru neekevvaru anil ravipudi Mahesh Babu Rashmika Mandanna Vijayashanti Prakash Raj Rajendra Prasad Rao Ramesh Posani Krishna Murali Brahmaji Tanikella Bharani Vennela Kishore Action
1066,ala vaikunthapurramloo,trivikram srinivas,Allu Arjun Pooja Hegde Tabu Jayaram Sushanth Navdeep Nivetha Pethuraj Samuthirakani Murali Sharma Rajendra Prasad,Action Drama,ala vaikunthapurramloo trivikram srinivas Allu Arjun Pooja Hegde Tabu Jayaram Sushanth Navdeep Nivetha Pethuraj Samuthirakani Murali Sharma Rajendra Prasad Action Drama
1067,entha manchivaadavuraa,satish vegesna,Kalyan Ram Mehreen Pirzada Naresh Sarath Babu Suhasini Maniratnam Vijayakumar Baladitya Vennela Kishore Rajeev Kanakala Pavitra Lokesh,Action Drama Romance,entha manchivaadavuraa satish vegesna Kalyan Ram Mehreen Pirzada Naresh Sarath Babu Suhasini Maniratnam Vijayakumar Baladitya Vennela Kishore Rajeev Kanakala Pavitra Lokesh Action Drama Romance
1068,thagite thandana,srinath badineni,Adith Arun Sapthagiri Madhunandan Simran Gupta,un_known,thagite thandana srinath badineni Adith Arun Sapthagiri Madhunandan Simran Gupta un_known
1069,disco raja,vi anand,Ravi Teja Payal Rajput Nabha Natesh Tanya Hope Bobby Simha Sunil Vennela Kishore Satya Ramki Naresh,Action Science Fiction Thriller,disco raja vi anand Ravi Teja Payal Rajput Nabha Natesh Tanya Hope Bobby Simha Sunil Vennela Kishore Satya Ramki Naresh Action Science Fiction Thriller
1070,dubsmash,keshav depur,Pavan Krishna Supraja Getup Srinu,Drama Romance,dubsmash keshav depur Pavan Krishna Supraja Getup Srinu Drama Romance
1071,aswathama,ramana teja,Naga Shaurya Mehreen Pirzada Jisshu Sengupta Harish Uthaman Sargun Kaur Luthra Prince Cecil Aadarsh Balakrishna Posani Krishna Murali,Action Crime Thriller,aswathama ramana teja Naga Shaurya Mehreen Pirzada Jisshu Sengupta Harish Uthaman Sargun Kaur Luthra Prince Cecil Aadarsh Balakrishna Posani Krishna Murali Action Crime Thriller
1072,choosi choodangaane,sesha sindhu rao,Shiva Kandukuri Varsha Bollamma Malavika Satheesan Pavitra Lokesh Anish Kuruvilla Gururaj Manepalli Venkatesh Kakumanu Rajesh Khanna,Comedy Drama Romance,choosi choodangaane sesha sindhu rao Shiva Kandukuri Varsha Bollamma Malavika Satheesan Pavitra Lokesh Anish Kuruvilla Gururaj Manepalli Venkatesh Kakumanu Rajesh Khanna Comedy Drama Romance
1073,jaanu,c. premkumar,Sharwanand Samantha Akkineni Sai Kiran Kumar Gouri G. Kishan Tanikella Bharani Vennela Kishore Raghu Babu Varsha Bollamma Saranya Pradeep,Comedy Horror,jaanu c. premkumar Sharwanand Samantha Akkineni Sai Kiran Kumar Gouri G. Kishan Tanikella Bharani Vennela Kishore Raghu Babu Varsha Bollamma Saranya Pradeep Comedy Horror
1074,3 monkeys,anil kumar g,Sudigali Sudheer Getup Srinu Ram Prasad Karunya Chowdary Kautilya,Comedy Drama Romance,3 monkeys anil kumar g Sudigali Sudheer Getup Srinu Ram Prasad Karunya Chowdary Kautilya Comedy Drama Romance
