Title,Director,Cast,genres,combo
a shyam gopal varma film,rakesh srinivas,shafi zoya khan l. b. sriram jaya prakash reddy,un_known,a shyam gopal varma film rakesh srinivas shafi zoya khan l. b. sriram jaya prakash reddy un_known
mana kurralle,veera sankar,arvind krishna rachana malhotra krishnudu roopa kaur,un_known,mana kurralle veera sankar arvind krishna rachana malhotra krishnudu roopa kaur un_known
lava kusa,jaya sreesivan,varun sandesh richa panai,un_known,lava kusa jaya sreesivan varun sandesh richa panai un_known
gopala gopala,kishore kumar,venkatesh pawan kalyan shriya saran mithun chakraborthy,Comedy Romance Fantasy,gopala gopala kishore kumar venkatesh pawan kalyan shriya saran mithun chakraborthy Comedy Romance Fantasy
pataas,anil ravipudi,nandamuri kalyan ram shruti sodhi sai kumar ashutosh rana,Action Comedy,pataas anil ravipudi nandamuri kalyan ram shruti sodhi sai kumar ashutosh rana Action Comedy
beeruva,kanmani,sundeep kishan surabhi,Romance,beeruva kanmani sundeep kishan surabhi Romance
intelligent idiots,balaji sanala,posani krishna murali vikram shekar prabhjeet kaur sapthagiri,un_known,intelligent idiots balaji sanala posani krishna murali vikram shekar prabhjeet kaur sapthagiri un_known
top rankers,gollapati nageshwara rao,rajendra prasad sony charistha,un_known,top rankers gollapati nageshwara rao rajendra prasad sony charistha un_known
ladies & gentleman,p b manjunath,adivi sesh chaitanya krishna kamal kamaraju nikitha narayan,Comedy,ladies & gentleman p b manjunath adivi sesh chaitanya krishna kamal kamaraju nikitha narayan Comedy
o manasa,sahaja rao,ajay aparna bajpai,un_known,o manasa sahaja rao ajay aparna bajpai un_known
dorakadu,varaprasad,sivaji gayathri iyer suman ajay babu mohan,Action Adventure Drama History,dorakadu varaprasad sivaji gayathri iyer suman ajay babu mohan Action Adventure Drama History
gaddam gang,santhosh p. jayakumar,rajasekhar sheena shahabadi naresh seetha,Comedy Crime,gaddam gang santhosh p. jayakumar rajasekhar sheena shahabadi naresh seetha Comedy Crime
malli malli idi rani roju,kranthi madhav,sharwanand nithya menen tejaswi madivada nassar pavitra lokesh,Romance Comedy,malli malli idi rani roju kranthi madhav sharwanand nithya menen tejaswi madivada nassar pavitra lokesh Romance Comedy
moodu mukkallo cheppalante,madhumitha,rakendu mouli aditi chengappa venkatesh harinathan,un_known,moodu mukkallo cheppalante madhumitha rakendu mouli aditi chengappa venkatesh harinathan un_known
pesarattu,mahesh kathi,nandu nikitha narayan sampoornesh babu,un_known,pesarattu mahesh kathi nandu nikitha narayan sampoornesh babu un_known
temper,puri jagannadh,n. t. rama rao jr. kajal aggarwal prakash raj,un_known,temper puri jagannadh n. t. rama rao jr. kajal aggarwal prakash raj un_known
paddanandi premalo mari,mahesh upputuri,varun sandesh vithika sheru,Action Romance,paddanandi premalo mari mahesh upputuri varun sandesh vithika sheru Action Romance
bandipotu,mohan krishna indraganti,allari naresh eesha rebba srinivas avasarala rao ramesh tanikella bharani,Thriller Comedy Crime,bandipotu mohan krishna indraganti allari naresh eesha rebba srinivas avasarala rao ramesh tanikella bharani Thriller Comedy Crime
nuvvu nenu okatavudaam,p. narasimha reddy,ranjith swamy sana ali jaya prakash reddy,un_known,nuvvu nenu okatavudaam p. narasimha reddy ranjith swamy sana ali jaya prakash reddy un_known
gayakudu,kamal. g,ali reza shriya sharma santosh pawan m s narayana sapta giri,un_known,gayakudu kamal. g ali reza shriya sharma santosh pawan m s narayana sapta giri un_known
bham bolenath,karthik varma dandu,navdeep naveen chandra pooja jhaveri,Comedy Romance,bham bolenath karthik varma dandu navdeep naveen chandra pooja jhaveri Comedy Romance
ramleela,kiran,havish abijeet nanditha raj,Action Romance,ramleela kiran havish abijeet nanditha raj Action Romance
surya vs surya,karthik ghattamaneni,nikhil siddharth tanikella bharani tridha choudhary,Romance Drama,surya vs surya karthik ghattamaneni nikhil siddharth tanikella bharani tridha choudhary Romance Drama
naakaithe nachindi,trinadh kosuru,sri balaji soni charistha rishika jairath krishna,un_known,naakaithe nachindi trinadh kosuru sri balaji soni charistha rishika jairath krishna un_known
anandam malli modalaindi,akash,jai akash jiya khan alekhya thagubothu ramesh,un_known,anandam malli modalaindi akash jai akash jiya khan alekhya thagubothu ramesh un_known
tommy,raja vannemreddy,rajendra prasad seetha deepak mumtaj suresh raghu babu,Comedy,tommy raja vannemreddy rajendra prasad seetha deepak mumtaj suresh raghu babu Comedy
thappatadugu,sri aarun,surya teja naveena jackson lakshman surabhi,un_known,thappatadugu sri aarun surya teja naveena jackson lakshman surabhi un_known
calling bell,panna royal,ravi verma mamatha rahuth vriti khanna kishore jeeva chanti shankar venu,un_known,calling bell panna royal ravi verma mamatha rahuth vriti khanna kishore jeeva chanti shankar venu un_known
tungabhadra,srinivas gogineni,adith arun dimple chopade,Drama,tungabhadra srinivas gogineni adith arun dimple chopade Drama
yevade subramanyam,nag ashwin,nani vijay deverakonda malavika nair ritu varma,Adventure Comedy Drama,yevade subramanyam nag ashwin nani vijay deverakonda malavika nair ritu varma Adventure Comedy Drama
janda pai kapiraju,samuthirakani,nani amala paul ragini dwivedi tanikella bharani,Action Romance Thriller,janda pai kapiraju samuthirakani nani amala paul ragini dwivedi tanikella bharani Action Romance Thriller
rey,yvs chowdary,sai dharam tej saiyami kher shraddha das tanikella bharani,un_known,rey yvs chowdary sai dharam tej saiyami kher shraddha das tanikella bharani un_known
jil,radha krishna,gopichand raashi khanna kabir duhan singh harish uthaman,Action,jil radha krishna gopichand raashi khanna kabir duhan singh harish uthaman Action
avunu 2,ravi babu,harshvardhan rane poorna ravi babu sanjjanaa nikita thukral,Horror,avunu 2 ravi babu harshvardhan rane poorna ravi babu sanjjanaa nikita thukral Horror
s/o satyamurthy,trivikram srinivas,allu arjun upendra samantha nithya menen sneha adah sharma prakash raj rajendra prasad,Drama Action,s/o satyamurthy trivikram srinivas allu arjun upendra samantha nithya menen sneha adah sharma prakash raj rajendra prasad Drama Action
budugu,manmohan,lakshmi manchu indraja sridhar sana indu vani,Mystery Thriller,budugu manmohan lakshmi manchu indraja sridhar sana indu vani Mystery Thriller
varadhi,kartikeya,kranthi sri divya,un_known,varadhi kartikeya kranthi sri divya un_known
noothi lo kappalu,chanti gnamami,rajendra prasad pari singh,un_known,noothi lo kappalu chanti gnamami rajendra prasad pari singh un_known
kai raja kai,siva ganesh,josh ravi maanas ram khanna shravya shamili,un_known,kai raja kai siva ganesh josh ravi maanas ram khanna shravya shamili un_known
