Title,Director,Cast,genres,combo
evaro tanevaro,s. babji,naveen gautham sarayu chalapathi rao priyanka,un_known,evaro tanevaro s. babji naveen gautham sarayu chalapathi rao priyanka un_known
inkenti nuvve cheppu,siva sri,prashanth bodetti manikanta sunny pujitha suman,un_known,inkenti nuvve cheppu siva sri prashanth bodetti manikanta sunny pujitha suman un_known
no.1 hero rajendar love stori,rajendar,rajendar sri devi,un_known,no.1 hero rajendar love stori rajendar rajendar sri devi un_known
padamati sandhyaragam london lo,vamshi muniganti,mirabel stuart chaitu shantharam shahela rani,un_known,padamati sandhyaragam london lo vamshi muniganti mirabel stuart chaitu shantharam shahela rani un_known
ye rojaithey chusaano,g. bala,manoj nandam suma smithika acharya monika singh,un_known,ye rojaithey chusaano g. bala manoj nandam suma smithika acharya monika singh un_known
khaidi no. 150,v.v. vinayak,chiranjeevi kajal aggarwal tarun arora,Action Romance Thriller,khaidi no. 150 v.v. vinayak chiranjeevi kajal aggarwal tarun arora Action Romance Thriller
gautamiputra satakarni,krish,nandamuri balakrishna shriya saran hema malini,History Drama Action,gautamiputra satakarni krish nandamuri balakrishna shriya saran hema malini History Drama Action
head constable venkataramaiah,chadalavada srinivasa rao,r. narayana murthy jayasudha,un_known,head constable venkataramaiah chadalavada srinivasa rao r. narayana murthy jayasudha un_known
shatamanam bhavati,satish vegesna,sharwanand anupama parameswaran prakash raj jayasudha,Drama Family,shatamanam bhavati satish vegesna sharwanand anupama parameswaran prakash raj jayasudha Drama Family
luckunnodu,raj kiran,manchu vishnu hansika motwani,Comedy Action,luckunnodu raj kiran manchu vishnu hansika motwani Comedy Action
nenu local,trinadha rao nakkina,nani keerthy suresh naveen chandra sachin khedekar,Action Comedy,nenu local trinadha rao nakkina nani keerthy suresh naveen chandra sachin khedekar Action Comedy
ika..se..love,dungroth nagaraj,sai ravi deepthi,un_known,ika..se..love dungroth nagaraj sai ravi deepthi un_known
om namo venkatesaya,k. raghavendra rao,nagarjuna akkineni anushka shetty jagapathi babu saurabh raj jain,Drama,om namo venkatesaya k. raghavendra rao nagarjuna akkineni anushka shetty jagapathi babu saurabh raj jain Drama
ghazi,sankalp reddy,daggubati rana taapsee pannu kay kay menon atul kulkarni,Action Science Fiction Thriller,ghazi sankalp reddy daggubati rana taapsee pannu kay kay menon atul kulkarni Action Science Fiction Thriller
vajralu kavala nayana,radha krishna,anil buragani nikitha bhist kasi sivakumar,Horror Romance,vajralu kavala nayana radha krishna anil buragani nikitha bhist kasi sivakumar Horror Romance
c/o godavari,raja rammohan,deepu naidu rohit sirigiri shruthi varma posani krishna murali prabhas sreenu suman,un_known,c/o godavari raja rammohan deepu naidu rohit sirigiri shruthi varma posani krishna murali prabhas sreenu suman un_known
winner,gopichand malineni,sai dharam tej rakul preet singh jagapati babu,Thriller Comedy Crime,winner gopichand malineni sai dharam tej rakul preet singh jagapati babu Thriller Comedy Crime
dwaraka,srinivas ravindra,vijay deverakonda pooja jhaveri prakash raj prudhviraj murali sharma,Drama,dwaraka srinivas ravindra vijay deverakonda pooja jhaveri prakash raj prudhviraj murali sharma Drama
gunturodu,s. k. satya,manchu manoj pragya jaiswal rajendra prasad sampath raj kota srinivasa rao,un_known,gunturodu s. k. satya manchu manoj pragya jaiswal rajendra prasad sampath raj kota srinivasa rao un_known
kittu unnadu jagratha,vamsi krishna,raj tarun anu emmanuel arbaaz khan,Comedy,kittu unnadu jagratha vamsi krishna raj tarun anu emmanuel arbaaz khan Comedy
aakatayi,rom bhimana,aashish raj rukshar mir suman pradeep rawat posani krishna murali brahmanandam,Romance Comedy Thriller,aakatayi rom bhimana aashish raj rukshar mir suman pradeep rawat posani krishna murali brahmanandam Romance Comedy Thriller
chitrangada,g. ashok,anjali sakshi gulati saptagiri raja ravindra,Drama,chitrangada g. ashok anjali sakshi gulati saptagiri raja ravindra Drama
lakshmi bomb,karthikeya gopalakrishna,lakshmi manchu prabhakar posani krishna murali hema bharath reddy,Drama,lakshmi bomb karthikeya gopalakrishna lakshmi manchu prabhakar posani krishna murali hema bharath reddy Drama
happy birthday,pallela veerareddy,chennamaneni sridhar jyoti sethi sanjjanaa sravan raghavendra,Horror Thriller,happy birthday pallela veerareddy chennamaneni sridhar jyoti sethi sanjjanaa sravan raghavendra Horror Thriller
maa abbayi,kumar vatti,sree vishnu chitra shukla,Action Romance Drama,maa abbayi kumar vatti sree vishnu chitra shukla Action Romance Drama
nenorakam,sudharshan salendra,sai ram shankar reshmi menon r. sarath kumar,Action,nenorakam sudharshan salendra sai ram shankar reshmi menon r. sarath kumar Action
pichiga nachav,v. sesibhushan,sanjeev chetana uttej nandu karunya,Comedy Drama Family Romance,pichiga nachav v. sesibhushan sanjeev chetana uttej nandu karunya Comedy Drama Family Romance
katamarayudu,kishore kumar pardasani,pawan kalyan shruti hassan tarun arora,Action Family,katamarayudu kishore kumar pardasani pawan kalyan shruti hassan tarun arora Action Family
kannayya,vipul,vipul harshita singh panwar,un_known,kannayya vipul vipul harshita singh panwar un_known
nuvvu evaro nenu evaro,bhaskar,suman shetty meghana rai,un_known,nuvvu evaro nenu evaro bhaskar suman shetty meghana rai un_known
cine mahal - rojuki 4 aatalu,laxman varma,ryan rahul thejaswini siddhansh jeeva,un_known,cine mahal - rojuki 4 aatalu laxman varma ryan rahul thejaswini siddhansh jeeva un_known
guru,sudha kongara prasad,daggubati venkatesh ritika singh,Comedy Romance,guru sudha kongara prasad daggubati venkatesh ritika singh Comedy Romance
rogue,puri jagannadh,ishaan mannara chopra angela krislinzki thakur anoop singh posani krishna murali ajaz khan,Action Adventure,rogue puri jagannadh ishaan mannara chopra angela krislinzki thakur anoop singh posani krishna murali ajaz khan Action Adventure
aranyamlo,sudarshan reddy palvai,rohit shalu charan naidu,un_known,aranyamlo sudarshan reddy palvai rohit shalu charan naidu un_known
chinni chinni asalu nalo regene,santhosh nelanti,keerthi manu sonia deepti pavan thagubothu ramesh,un_known,chinni chinni asalu nalo regene santhosh nelanti keerthi manu sonia deepti pavan thagubothu ramesh un_known
kathrina kareena madyalo kamalhaasan,ratna korepally,mamatha rahuth sasanka mouli chithram sreenu,un_known,kathrina kareena madyalo kamalhaasan ratna korepally mamatha rahuth sasanka mouli chithram sreenu un_known
lakshmi devi samarpinchu nede chudandi,jakee atheek,naresh aamani akhil charan kiran sonu poonam srikoti naga babu,un_known,lakshmi devi samarpinchu nede chudandi jakee atheek naresh aamani akhil charan kiran sonu poonam srikoti naga babu un_known
nuvvu nenu osey orey,ravichandra kannikanti,arjun mahi ashwini prudhviraj,un_known,nuvvu nenu osey orey ravichandra kannikanti arjun mahi ashwini prudhviraj un_known
saranam gacchami,premaraj enumula,naveen sanjay tanishq tiwari posani krishna murali,un_known,saranam gacchami premaraj enumula naveen sanjay tanishq tiwari posani krishna murali un_known
mister,srinu vaitla,varun tej lavanya tripathi hebah patel,Comedy Drama,mister srinu vaitla varun tej lavanya tripathi hebah patel Comedy Drama
dhada puttistha,harish. e,vinni viyan neha deshpande harini aanya,un_known,dhada puttistha harish. e vinni viyan neha deshpande harini aanya un_known
iddari madhya 18,nani acharya,ram karthik bhanu tripatri,un_known,iddari madhya 18 nani acharya ram karthik bhanu tripatri un_known
lanka,sri muni,raasi sai ronak ena saha shiju supreeth leena siddhu satyam rajesh satha sudarshan,Drama Crime,lanka sri muni raasi sai ronak ena saha shiju supreeth leena siddhu satyam rajesh satha sudarshan Drama Crime
lover boy,sanjeev naidu,sanjeev naidu sonia chowdhary,Horror Comedy,lover boy sanjeev naidu sanjeev naidu sonia chowdhary Horror Comedy
bāhubali 2: the conclusion,s. s. rajamouli,prabhas anushka shetty ramya krishna rana daggubati tamannaah sathyaraj,Action Drama,baahubali: the conclusion s. s. rajamouli prabhas anushka shetty ramya krishna rana daggubati tamannaah sathyaraj Action Drama
babu baga busy,naveen medaram,srinivas avasarala tejaswi madivada mishti chakraborty sreemukhi,Comedy,babu baga busy naveen medaram srinivas avasarala tejaswi madivada mishti chakraborty sreemukhi Comedy
radha,chandra mohan,sharwanand lavanya tripathi aksha pardasany,Action Comedy Romance,radha chandra mohan sharwanand lavanya tripathi aksha pardasany Action Comedy Romance
rakshaka bhatudu,vamsi krishna akella,richa panai brahmaji brahmanandam prabhakar,Fantasy Thriller Drama,rakshaka bhatudu vamsi krishna akella richa panai brahmaji brahmanandam prabhakar Fantasy Thriller Drama
venkatapuram,venu madikanti,rahul haridas mahima makwana ajay,Crime Thriller Drama,venkatapuram venu madikanti rahul haridas mahima makwana ajay Crime Thriller Drama
keshava,sudheer varma,nikhil siddharth ritu varma isha koppikar rao ramesh,Action Thriller Drama,keshava sudheer varma nikhil siddharth ritu varma isha koppikar rao ramesh Action Thriller Drama
