Title,Director,Cast,genres,combo
mixture potlam,sathish kumar m. v.,shweta basu prasad jayanth geethanjali thasya posani krishna murali bhanuchander,Comedy,mixture potlam sathish kumar m. v. shweta basu prasad jayanth geethanjali thasya posani krishna murali bhanuchander Comedy
tik tak,haranath policherla,haranath policherla mounika nishi gandha,Comedy,tik tak haranath policherla haranath policherla mounika nishi gandha Comedy
gopyam,ballem venu madhav,tharun sharma indu priya annapoorna,un_known,gopyam ballem venu madhav tharun sharma indu priya annapoorna un_known
neelimalai,suryakiran eladi,anand krishna vrushali gosavi ali satya prakash,un_known,neelimalai suryakiran eladi anand krishna vrushali gosavi ali satya prakash un_known
o pilla nee valla,kishore,krishna chaitanya rajesh rathod monica singh,Romance Action Drama,o pilla nee valla kishore krishna chaitanya rajesh rathod monica singh Romance Action Drama
rarandoi veduka chudham,kalyan krishna kurasala,naga chaitanya rakul preet singh jagapathi babu sampath raj irshad vennela kishore,Drama Family Romance,rarandoi veduka chudham kalyan krishna kurasala naga chaitanya rakul preet singh jagapathi babu sampath raj irshad vennela kishore Drama Family Romance
sriramudinta srikrishnudanta,naresh penta,sekhar varma deepthi shetty madhusudhanan rao madhumani nidu,Romance Comedy,sriramudinta srikrishnudanta naresh penta sekhar varma deepthi shetty madhusudhanan rao madhumani nidu Romance Comedy
andhhagadu,veligonda srinivas,raj tarun hebah patel rajendra prasad ashish vidyarthi sayaji shinde,Thriller Comedy Horror,andhhagadu veligonda srinivas raj tarun hebah patel rajendra prasad ashish vidyarthi sayaji shinde Thriller Comedy Horror
fashion designer s/o ladies tailor,vamsy,sumanth ashwin anisha ambrose manali rathod manasa himavarsha,Drama Comedy Romance,fashion designer s/o ladies tailor vamsy sumanth ashwin anisha ambrose manali rathod manasa himavarsha Drama Comedy Romance
neelampati ammoru,thota krishnamurthy,sai kiran suman sri latha,un_known,neelampati ammoru thota krishnamurthy sai kiran suman sri latha un_known
ami thumi,mohan krishna indraganti,srinivas avasarala eesha rebba adivi sesh tanikella bharani vennela kishore,Comedy Romance,ami thumi mohan krishna indraganti srinivas avasarala eesha rebba adivi sesh tanikella bharani vennela kishore Comedy Romance
kaadhali,pattabhi r. chilukuri,pooja k. doshi sai ronak harish kalyan mohan raman,Drama Romance,kaadhali pattabhi r. chilukuri pooja k. doshi sai ronak harish kalyan mohan raman Drama Romance
pelliki mundu prema katha,madhu gopu,chethan cheenu sunaina thagubothu ramesh,un_known,pelliki mundu prema katha madhu gopu chethan cheenu sunaina thagubothu ramesh un_known
raja meeru keka,krishna kishore,taraka ratna revanth noel sean lasya,un_known,raja meeru keka krishna kishore taraka ratna revanth noel sean lasya un_known
duvvada jagannadham,harish shankar,allu arjun pooja hegde,Comedy Action,duvvada jagannadham harish shankar allu arjun pooja hegde Comedy Action
jayadev,jayanth c. paranjee,ganta ravi malvika raaj vinod kumar posani krishna murali vennela kishore,un_known,jayadev jayanth c. paranjee ganta ravi malvika raaj vinod kumar posani krishna murali vennela kishore un_known
khayyum bhai,bharath,katta rambabu taraka ratna priya harshitha,un_known,khayyum bhai bharath katta rambabu taraka ratna priya harshitha un_known
ninnu kori,shiva nirvana,nani niveda thomas aadhi pinisetty tanikella bharani murali sharma rajashree neetu chandra,Comedy Romance Family,ninnu kori shiva nirvana nani niveda thomas aadhi pinisetty tanikella bharani murali sharma rajashree neetu chandra Comedy Romance Family
rakshasi,panna royal,abhimanyu singh poorna panna royal baby dhanvi thagubothu ramesh,Action Drama,rakshasi panna royal abhimanyu singh poorna panna royal baby dhanvi thagubothu ramesh Action Drama
rendu rellu aaru,nandu,anil mallela mahima aishwarya gorak naresh,Comedy Romance Drama,rendu rellu aaru nandu anil mallela mahima aishwarya gorak naresh Comedy Romance Drama
dr. chakravarthy,shekkhar suri,richard rishi sonia mann lena,un_known,dr. chakravarthy shekkhar suri richard rishi sonia mann lena un_known
patel s. i. r.,vasu parimi,jagapati babu padmapriya janakiraman tanya hope subbaraju posani krishna murali raghu babu,Action Thriller Drama,patel s. i. r. vasu parimi jagapati babu padmapriya janakiraman tanya hope subbaraju posani krishna murali raghu babu Action Thriller Drama
shamanthakamani,sriram adittya,nara rohit sudheer babu sundeep kishan aadi saikumar rajendra prasad,un_known,shamanthakamani sriram adittya nara rohit sudheer babu sundeep kishan aadi saikumar rajendra prasad un_known
fidaa,sekhar kammula,varun tej sai pallavi satyam rajesh,Drama Romance Comedy,fidaa sekhar kammula varun tej sai pallavi satyam rajesh Drama Romance Comedy
kala varam aaye,sampath v. kumar,vibheesh priyanka jawalkar chandra mohan sanjeev,un_known,kala varam aaye sampath v. kumar vibheesh priyanka jawalkar chandra mohan sanjeev un_known
maya mall,govind lalam,dilip kumar eesha rebba deeksha panth thagubothu ramesh,un_known,maya mall govind lalam dilip kumar eesha rebba deeksha panth thagubothu ramesh un_known
vaisakham,jaya. b,harish avantika mishra balireddy pruthviraj,Family Drama Romance,vaisakham jaya. b harish avantika mishra balireddy pruthviraj Family Drama Romance
goutham nanda,sampath nandi,gopichand hansika motwani catherine tresa sachin khedekar mukesh rishi nikitin dheer ajay,Action Drama,goutham nanda sampath nandi gopichand hansika motwani catherine tresa sachin khedekar mukesh rishi nikitin dheer ajay Action Drama
naku nene thopu turumu,sivamani reddy,ashok sunkara manasa chalapathi rao suman shetty,un_known,naku nene thopu turumu sivamani reddy ashok sunkara manasa chalapathi rao suman shetty un_known
darsakudu,jakka hari prasad,ashok bandreddi eesha rebba poojitha ponnada,Action Drama Romance,darsakudu jakka hari prasad ashok bandreddi eesha rebba poojitha ponnada Action Drama Romance
green card,rums,shatrughna rayapati stephany chalapathi rao,Comedy Drama Romance,green card rums shatrughna rayapati stephany chalapathi rao Comedy Drama Romance
idem deyyam,v. ravi varma,racha ravi kirak rp rachana smith ruchi,un_known,idem deyyam v. ravi varma racha ravi kirak rp rachana smith ruchi un_known
nakshatram,krishna vamsi,sundeep kishan sai dharam tej regina cassandra pragya jaiswal prakash raj tanish,un_known,nakshatram krishna vamsi sundeep kishan sai dharam tej regina cassandra pragya jaiswal prakash raj tanish un_known
vasham,srikanth challa,nanda kishore vasudev rao swethaa varma,Thriller Action Drama,vasham srikanth challa nanda kishore vasudev rao swethaa varma Thriller Action Drama
lie,hanu raghavapudi,nithiin megha akash arjun sarja ravi kishan nassar,Drama Horror Mystery Thriller,lie hanu raghavapudi nithiin megha akash arjun sarja ravi kishan nassar Drama Horror Mystery Thriller
jaya janaki nayaka,boyapati srinu,bellamkonda sreenivas rakul preet singh jagapathi babu pragya jaiswal,Romance Action Thriller,jaya janaki nayaka boyapati srinu bellamkonda sreenivas rakul preet singh jagapathi babu pragya jaiswal Romance Action Thriller
nene raju nene mantri,teja,rana daggubati kajal aggarwal catherine tresa navdeep ashutosh rana pradeep rawat,Action Romance Thriller,nene raju nene mantri teja rana daggubati kajal aggarwal catherine tresa navdeep ashutosh rana pradeep rawat Action Romance Thriller
anando brahma,mahi v raghav,taapsee pannu srinivasa reddy vennela kishore thagubothu ramesh shakalaka shankar,Comedy Horror Thriller,anando brahma mahi v raghav taapsee pannu srinivasa reddy vennela kishore thagubothu ramesh shakalaka shankar Comedy Horror Thriller
prathi kshanam,g. m. k. reddy,maneesh tejaswini prakash veda sastry,un_known,prathi kshanam g. m. k. reddy maneesh tejaswini prakash veda sastry un_known
preminche panilo vunna,pradeep manchala,raghuram dronavajjala bindu barbie,un_known,preminche panilo vunna pradeep manchala raghuram dronavajjala bindu barbie un_known
arjun reddy,sandeep reddy vanga,vijay deverakonda shalini pandey kanchana rahul ramakrishna,Romance Drama Action,arjun reddy sandeep reddy vanga vijay deverakonda shalini pandey kanchana rahul ramakrishna Romance Drama Action
vip 2,soundarya rajinikanth,dhanush kajol amala paul,un_known,vip 2 soundarya rajinikanth dhanush kajol amala paul un_known
nee preme naa pranam,rajasekhar,lucky sireesha vizag dhanaraj,un_known,nee preme naa pranam rajasekhar lucky sireesha vizag dhanaraj un_known
paisa vasool,puri jagannadh,nandamuri balakrishna shriya saran vikramjeet virk musskan sethi,Horror Action Comedy,paisa vasool puri jagannadh nandamuri balakrishna shriya saran vikramjeet virk musskan sethi Horror Action Comedy
shalini,sheraz,amogh deshapathi archana chowdapur lucky ekari,Comedy Romance,shalini sheraz amogh deshapathi archana chowdapur lucky ekari Comedy Romance
vellipomakey,ali mohammed,vishwak sen supraja swetha,Romance,vellipomakey ali mohammed vishwak sen supraja swetha Romance
meda meeda abbayi,c. prajith,allari naresh nikhila vimal srinivas avasarala satyam rajesh,Comedy Drama Romance,meda meeda abbayi c. prajith allari naresh nikhila vimal srinivas avasarala satyam rajesh Comedy Drama Romance
yuddham sharanam,krishna marimuthu,naga chaitanya lavanya tripathi srikanth rao ramesh,Action Romance Thriller,yuddham sharanam krishna marimuthu naga chaitanya lavanya tripathi srikanth rao ramesh Action Romance Thriller
kathalo rajakumari,mahesh surapaneni,nara rohit naga shourya namitha pramod srinivas avasarala,Romance Drama Action,kathalo rajakumari mahesh surapaneni nara rohit naga shourya namitha pramod srinivas avasarala Romance Drama Action
srivalli,k. v. vijayendra prasad,rajath krishna neha hinge rajeev kanakala araham khan sufi syed hema,Thriller,srivalli k. v. vijayendra prasad rajath krishna neha hinge rajeev kanakala araham khan sufi syed hema Thriller
ungarala rambabu,kranthi madhav,sunil miya prakash raj vennela kishore posani krishna murali ali rajeev kanakala raja ravindra,Romance Comedy,ungarala rambabu kranthi madhav sunil miya prakash raj vennela kishore posani krishna murali ali rajeev kanakala raja ravindra Romance Comedy
veedevadu,tatineni satya,sachiin j. joshi esha gupta prabhu kishore srinivasa reddy,Thriller,veedevadu tatineni satya sachiin j. joshi esha gupta prabhu kishore srinivasa reddy Thriller
jai lava kusa,k. s. ravindra,n. t. rama rao jr. raashi khanna niveda thomas ronit roy nanditha raj hamsa nandini posani krishna murali sai kumar pradeep rawat nassar abhimanyu singh harish uthaman,Action Thriller,jai lava kusa k. s. ravindra n. t. rama rao jr. raashi khanna niveda thomas ronit roy nanditha raj hamsa nandini posani krishna murali sai kumar pradeep rawat nassar abhimanyu singh harish uthaman Action Thriller
spyder,ar murugadoss,mahesh babu rakul preet singh s. j. surya bharath rj balaji shaji chen priyadarshi pullikonda sayaji shinde nagineedu jayaprakash dheepa ramanujam ajay rathnam hareesh peradi ravi sendrayan,Action,spyder ar murugadoss mahesh babu rakul preet singh s. j. surya bharath rj balaji shaji chen priyadarshi pullikonda sayaji shinde nagineedu jayaprakash dheepa ramanujam ajay rathnam hareesh peradi ravi sendrayan Action
mahanubhavudu,maruthi dasari,sharwanand mehreen pirzada vennela kishore nassar raghu babu kalyani natarajan,Comedy Family Romance,mahanubhavudu maruthi dasari sharwanand mehreen pirzada vennela kishore nassar raghu babu kalyani natarajan Comedy Family Romance
lavanya with love boys,vaddepalli krishna,paavani hema sundar,un_known,lavanya with love boys vaddepalli krishna paavani hema sundar un_known
bava maradallu,gangarapu lakshman murthy,mohan krishna,un_known,bava maradallu gangarapu lakshman murthy mohan krishna un_known
nenu kidnap ayyanu,sreekara babu,posani krishna murali brahmanandam krishna bhagawan srikanth dheeru soumithri aditi singh,un_known,nenu kidnap ayyanu sreekara babu posani krishna murali brahmanandam krishna bhagawan srikanth dheeru soumithri aditi singh un_known
oye ninne,satyam challakoti,bharath margani srushti dange thagubothu ramesh thulasi shivamani,Drama Family Romance,oye ninne satyam challakoti bharath margani srushti dange thagubothu ramesh thulasi shivamani Drama Family Romance
gulf,p. sunil kumar reddy,chethan neni dimple hayathi tanikella bharani posani krishna murali,Documentary Science Fiction,gulf p. sunil kumar reddy chethan neni dimple hayathi tanikella bharani posani krishna murali Documentary Science Fiction
raju gari gadhi 2,ohmkar,akkineni nagarjuna samantha ruth prabhu seerat kapoor abhinaya rao ramesh vennela kishore ashwin babu praveen,Crime Horror Thriller,raju gari gadhi 2 ohmkar akkineni nagarjuna samantha ruth prabhu seerat kapoor abhinaya rao ramesh vennela kishore ashwin babu praveen Crime Horror Thriller
yours lovingly,jogi raju mamidi,prudhvi potluri soumya reddy,Romance Drama,yours lovingly jogi raju mamidi prudhvi potluri soumya reddy Romance Drama
raja the great,anil ravipudi,ravi teja mehreen pirzada raadhika vivan bhatena prakash raj rajendra prasad sampath raj sai kumar,Action Comedy,raja the great anil ravipudi ravi teja mehreen pirzada raadhika vivan bhatena prakash raj rajendra prasad sampath raj sai kumar Action Comedy
anaganaga oka durga,prakash pulijala,priyanka naidu kranthi kumar jabardasth srinu sanjay krishna,un_known,anaganaga oka durga prakash pulijala priyanka naidu kranthi kumar jabardasth srinu sanjay krishna un_known
dyavudaa,dasari sairam,bhanu prasad sharath chandra jai anusha karunya,un_known,dyavudaa dasari sairam bhanu prasad sharath chandra jai anusha karunya un_known
vunnadhi okate zindagi,kishore tirumala,ram pothineni lavanya tripathi anupama parameswaran anisha ambrose sree vishnu kireeti damaraju priyadarshi pullikonda anand,Romance Drama,vunnadhi okate zindagi kishore tirumala ram pothineni lavanya tripathi anupama parameswaran anisha ambrose sree vishnu kireeti damaraju priyadarshi pullikonda anand Romance Drama
angel,bahubali palani,naga anvesh hebah patel suman kabir duhan singh saptagiri pradeep rawat shayaji shinde,Action Science Fiction Adventure,angel bahubali palani naga anvesh hebah patel suman kabir duhan singh saptagiri pradeep rawat shayaji shinde Action Science Fiction Adventure
next nuvve,prabhakar podakandla,aadi vaibhavi shandilya rashmi gautam srinivas avasarala brahmaji,Comedy Horror,next nuvve prabhakar podakandla aadi vaibhavi shandilya rashmi gautam srinivas avasarala brahmaji Comedy Horror
psv garuda vega,praveen sattaru,rajasekhar adith arun kishore pooja kumar shraddha das,Comedy Action Thriller,psv garuda vega praveen sattaru rajasekhar adith arun kishore pooja kumar shraddha das Comedy Action Thriller
c/o surya,suseenthiran,sundeep kishan mehreen pirzada harish uthaman vikranth,Crime Action Thriller,c/o surya suseenthiran sundeep kishan mehreen pirzada harish uthaman vikranth Crime Action Thriller
okkadu migiladu,ajay andrews,manchu manoj anisha ambrose suhasini maniratnam milind gunaji posani krishna murali,Crime History Action,okkadu migiladu ajay andrews manchu manoj anisha ambrose suhasini maniratnam milind gunaji posani krishna murali Crime History Action
dare,k. krishna prasad,naviin pallavi sakshi,Thriller Horror,dare k. krishna prasad naviin pallavi sakshi Thriller Horror
london babulu,chinni krishna,rakshith swati reddy murali sharma satya dhanraj,Romance Comedy Drama,london babulu chinni krishna rakshith swati reddy murali sharma satya dhanraj Romance Comedy Drama
lovers club,dhruv shekar,anish chandra aryan pavani poorni ajay ratnam,un_known,lovers club dhruv shekar anish chandra aryan pavani poorni ajay ratnam un_known
prema entha madhuram priyuralu antha katinam,goverdhan gajjala,chandrakanth datta radhika mehrotra pallavi dora thulasi shivamani tanikella bharani,un_known,prema entha madhuram priyuralu antha katinam goverdhan gajjala chandrakanth datta radhika mehrotra pallavi dora thulasi shivamani tanikella bharani un_known
prematho mee karthik,rishi,kartikeya gummakonda simrat murali sharma raghu karumanchi,Drama Romance,prematho mee karthik rishi kartikeya gummakonda simrat murali sharma raghu karumanchi Drama Romance
snehamera jeevitham,upputuri mahesh,siva balaji rajeev kanakala sushma yarlagadda chalapati rao,Drama,snehamera jeevitham upputuri mahesh siva balaji rajeev kanakala sushma yarlagadda chalapati rao Drama
napoleon,anand ravi,anand ravi komali ravi varma,Documentary,napoleon anand ravi anand ravi komali ravi varma Documentary
baby,d. suresh,baby sathanya srivarshini manoj k. bharathi shira,Action Crime,baby d. suresh baby sathanya srivarshini manoj k. bharathi shira Action Crime
balakrishnudu,pavan mallela,nara rohit regina cassandra ramya krishnan adithya menon ajay,Adventure Action Comedy,balakrishnudu pavan mallela nara rohit regina cassandra ramya krishnan adithya menon ajay Adventure Action Comedy
devi sri prasad,sri kishore,bhupal raju manoj nandam dhanraj pooja ramachandran,Action Drama,devi sri prasad sri kishore bhupal raju manoj nandam dhanraj pooja ramachandran Action Drama
jandhyala rasina premakatha,krishna varma,sekhar sri lakshmi gayatri gupta dileep kumar,un_known,jandhyala rasina premakatha krishna varma sekhar sri lakshmi gayatri gupta dileep kumar un_known
june 1:43,bhaskar bantupalli,aditya srivastava richa saxena arun babu dimple,un_known,june 1:43 bhaskar bantupalli aditya srivastava richa saxena arun babu dimple un_known
mental madhilo,vivek athreya,sree vishnu nivetha pethuraj amrutha srinivasan nara rohit,Romance Comedy,mental madhilo vivek athreya sree vishnu nivetha pethuraj amrutha srinivasan nara rohit Romance Comedy
oxygen,a. m. jothi krishna,gopichand raashi khanna anu emmanuel jagapathi babu shaam abhimanyu singh,Crime Drama Mystery Thriller,oxygen a. m. jothi krishna gopichand raashi khanna anu emmanuel jagapathi babu shaam abhimanyu singh Crime Drama Mystery Thriller
jawaan,b. v. s. ravi,sai dharam tej mehreen pirzada prasanna subbaraju,un_known,jawaan b. v. s. ravi sai dharam tej mehreen pirzada prasanna subbaraju un_known
sapthagiri llb,charan lakkaakula,saptagiri kashish vohra saikumar pudipeddi shakalaka shankar,Romance Comedy Drama,sapthagiri llb charan lakkaakula saptagiri kashish vohra saikumar pudipeddi shakalaka shankar Romance Comedy Drama
b. tech babulu,seenu imandi,nandu srimukhi ali pavithra lokesh naval kishore,un_known,b. tech babulu seenu imandi nandu srimukhi ali pavithra lokesh naval kishore un_known
malli raava,gowtam tinnanuri,sumanth aakanksha singh kadambari kiran annapoorna,Drama Family Romance,malli raava gowtam tinnanuri sumanth aakanksha singh kadambari kiran annapoorna Drama Family Romance
premika,mahindra,tanish alladi shruti yagal,un_known,premika mahindra tanish alladi shruti yagal un_known
vanavillu,lanka prateek prem karan,lanka prateek prem karan shravya rao surekha vani kasi vishwanath,un_known,vanavillu lanka prateek prem karan lanka prateek prem karan shravya rao surekha vani kasi vishwanath un_known
kiss kiss bang bang,karthik medikonda,kiran harshada kulkarni mahesh kathi gayathri gupta,Comedy Crime Action,kiss kiss bang bang karthik medikonda kiran harshada kulkarni mahesh kathi gayathri gupta Comedy Crime Action
idhi maa prema katha,ayodhya karthik,anchor ravi meghana lokesh prabhas seenu priyadarshi pullikonda,un_known,idhi maa prema katha ayodhya karthik anchor ravi meghana lokesh prabhas seenu priyadarshi pullikonda un_known
juliet lover of idiot,ajay vodhirala,naveen chandra niveda thomas abhimanyu singh ester noronha ali,Drama Romance Comedy,juliet lover of idiot ajay vodhirala naveen chandra niveda thomas abhimanyu singh ester noronha ali Drama Romance Comedy
kutumba katha chitram,v. s. vasu,nandu sreemukhi kamal kamaraju,Romance Horror Thriller,kutumba katha chitram v. s. vasu nandu sreemukhi kamal kamaraju Romance Horror Thriller
lacchi,eeshwar,tej dilip raghu babu jayathi tejaswini thagubothu ramesh dhanraj sukhram,Comedy Thriller,lacchi eeshwar tej dilip raghu babu jayathi tejaswini thagubothu ramesh dhanraj sukhram Comedy Thriller
mama o chandamama,vishaka venkat,ram karthik sana maqbool suman jeeva,un_known,mama o chandamama vishaka venkat ram karthik sana maqbool suman jeeva un_known
