cast
Ravi Teja Shruti Haasan Varalaxmi Sarathkumar Samuthirakani P. Ravi Shankar Chirag Jani Devi Prasad Mouryani
Priyadarshi Pulikonda Harshith Malgireddy Mani Aegurla Gouripriya Reddy Yennengee Ravinder Bommakanti Vannarn Srikanth Palle Anusha Netha
Ram Pothineni Nivetha Pethuraj Malvika Sharma Amritha Aiyer Sampath Raj Vennela Kishore Nassar Posani Krishna Murali Sonia Aggarwal Satya
Bellamkonda Sreenivas Nabha Natesh Anu Emmanuel Sonu Sood Prakash Raj
Punarnavi Bhupalam Mahat Raghavendra Sudarshan Swetha Varma Annapoorna
Naveen Chandra Chandini Chowdary Ajay Harsha Chemudu Rakendu Mouli Praveen
Allari Naresh Pooja Jhaveri Posani Krishna Murali Ajay Ghosh Vennela Kishore Tanikella Bharani Satyam Rajesh Prudhvi Raj
Pradeep Machiraju Amritha Aiyer Harsha Chemudu Subhalekha Sudhakar Posani Krishna Murali Hema Bhadram Hyper Aadi Sivannarayana Naripeddi Sruthi
Aamani Posani Krishna Murali Ajay Ghosh
Baladithya Veda Sastry Vikram Chary Vijayendra
Aaryan Krishna Supyardee Singh Vikram Chary Vijayendra
Srikanth Sunil Sreeram Taraka Ratna
Sailesh Sunny Gnaneswari Kandregula
Vishva Karthikeya Deepa Gemini Suresh Ananth Krishnaveni
Naveen Kumar Reddy Sahasra Reddy Tumuluri Sammohit Kommuri Leela Venkatesh
Sajja Teja Anandhi Harsha Vardhan Raghu Babu Daksha Nagarkar Prudhvi Raj Raghu Karumanchi Kireeti Damaraju Annapoorna Vitta Mahesh
Sree Mangam Avantika Hari Gayatri Iyer Gemini suresh Shashank
Aryan Gowra Divya Pandey
Panja Vaisshnav Tej Krithi Shetty Vijay Sethupathi
Jagapathi Babu Ammu Abhirami Ram Karthik Baby Sahrashita Ali Rajitha Krishna Bhagavaan Brahmaji Raja Ram Prasad
Dhruva Sarja Rashmika Mandanna Dhananjay Raghavendra Rajkumar P. Ravi Shankar Sadhu Kokila Kuri Prathap Mirnalini Ravi Mayuri Kyatari Dharma
Shruti Haasan Eesha Rebba Amala Paul Lakshmi Manchu Jagapathi Babu Saanve Megghana Sanjith Hegde Ashwin Kakumanu Satyadev Kancharana Srinivas Avasarala
Allari Naresh Varalaxmi Sarathkumar Priyadarshi Pulikonda  Harish Uthaman Praveen
Sumanth Nandita Swetha Nassar Jayaprakash Vennela Kishore Suman Ranganathan  J. Satish Kumar
Nithin Prasanna Preethi Asrani Baby Deevena Rangadam Krishna Veni Bharadwaj
Nithiin Rakul Preet Singh Priya Prakash Varrier Sampath Raj
Nandita Swetha Ajay Ghosh Shakalaka Shankar K. Sivasankar Satya Madhunandan
Ashok Selvan Nithya Menon Ritu Varma Nassar Satya
Sundeep Kishan Lavanya Tripathi Rao Ramesh Murali Sharma Posani Krishna Murali Priyadarshi Pulikonda Raghu Babu Satya Sriranjini Khayyum
Raja Ranjith Sherry Agarwal Tanikella Bharani Ajay Rajeev Kanakala Chammak Chandra
Raj Tarun Hemal Ingle Shamna Kasim Prince Cecil Kota Srinivasa Rao Satyam Rajesh Ajay (actor)
Dinesh Tej Spandana Palli Ananya Nagalla Arjun Kalyan Thagubothu Ramesh Gautam Raju TNR Surya (Telugu actor) Ananda Chakrapani Aishwarya Lekshmi
Sharwanand Priyanka Arul Mohan Sai Kumar Rao Ramesh Murali Sharma Naresh Aamani Saptagiri Satya
Sree Vishnu Rajendra Prasad Tanikella Bharani Srikanth Aiyyangar Raghu Babu Mirchi Kiran Karate Kalyani Satya Anish Kuruvilla Rajitha
Naveen Polishetty Priyadarshi Pulikonda Rahul Ramakrishna Murali Sharma Brahmaji Tanikella Bharani Vennela Kishore Faria Abdullah Naresh VK
Kartikeya Gummakonda Lavanya Tripathi Aamani Srikanth Iyyengar
Sumanth Ashwin Bhumika Chawla Srikanth Tanya Hope Saptagiri Subbaraju Prudhvi Raj Ram Prasad
Aadhi Pudipeddi Surbhi Puranik Tulasi Harsha Chemudu Vennela Kishore Sudarshan Rajeev Kanakala Ajay
Nithiin Keerthy Suresh Naresh Kausalya Rohini Brahmaji Vennela Kishore Suhas Abhinav Gomatam
Rana Daggubati Vishnu Vishal Raghu Babu Zoya Hussain Shriya Pilgaonkar Sampath Ram Ashvin Raja Tinnu Anand
Sri Simha Harsha Chemudu Ajay Ravi Varma Chitra Shukla Rajeev Kanakala Satya Saranya Pradeep Vajja Venkata Giridhar Mourya
Puneeth Rajkumar Sayyeshaa Sonu Gowda Dhananjay Prakash Raj Raadhika
Gopichand Tamannaah Digangana Suryavanshi Bhumika Chawla Rahman Tarun Arora Rao Ramesh Posani Krishna Murali Tanikella Bharani Preethi Asrani
Nagarjuna Dia Mirza Saiyami Kher
Pawan Kalyan Anjali Nivetha Thomas Prakash Raj Shruti Haasan Mukesh Rishi Dev Gill Naresh Subbaraju Vamsi Krishna
Naga Chaitanya Sai Pallavi Devayani Rao Ramesh Posani Krishna Murali Rajeev Kanakala Easwari Rao Satyam Rajesh Thagubothu Ramesh
Nani Jagapathi Babu Aishwarya Rajesh Ritu Varma Nassar Daniel Balaji Rao Ramesh Naresh Praveen Rohini
Kangana Ranaut Arvind Swami Prakash Raj Jisshu Sengupta Poorna Madhoo Bhagyashree Samuthirakani Vidya Pradeep Nassar
Sai Pallavi Rana Daggubati Priyamani Nandita Das Naveen Chandra Zarina Wahab Easwari Rao Sai Chand
Vishwak Sen Nivetha Pethuraj
Chiranjeevi Kajal Aggarwal Ram Charan Pooja Hegde Sonu Sood
Venkatesh Priyamani Karthik Rathnam Prakash Raj Murali Sharma Sampath Raj Rao Ramesh Rajeev Kanakala Vasishta N. Simha
Ravi Teja Arjun Sarja Meenakshi Chaudhary Dimple Hayathi
Nandamuri Balakrishna Pragya Jaiswal Srikanth Poorna Viji Chandrasekhar
Keerthy Suresh Aadhi Pinisetty Jagapathi Babu
Sai Dharam Tej Aishwarya Rajesh Jagapathi Babu Ramya Krishna Subbaraju Rahul Ramakrishna
Akhil Akkineni Pooja Hegde Eesha Rebba Aamani Murali Sharma Vennela Kishore Jayaprakash Pragathi Amit Tiwari Sudigali Sudheer
Nithiin Tamannaah Bhatia Nabha Natesh
Adivi Sesh Sobhita Dhulipala Saiee Manjrekar Prakash Raj Revathi Murali Sharma
Varun Tej Upendra Suniel Shetty Jagapathi Babu Saiee Manjrekar Naveen Chandra
Prabhas Pooja Hegde Krishnam Raju Sachin Khedekar Priyadarshi Pulikonda Bhagyashree Murali Sharma
Allu Arjun Rashmika Mandanna Jagapathi Babu Prakash Raj Sunil Dhananjay Harish Uthaman Vennela Kishore Anasuya Bharadwaj
Sharwanand Siddharth Aditi Rao Hydari Anu Emmanuel
Venkatesh Varun Tej Tamannaah Mehreen Pirzada
Vijay Deverakonda Ananya Panday Ramya Krishna Ali Ronit Roy Makarand Deshpande Getup Srinu
N. T. Rama Rao Jr Ram Charan Ajay Devgn Alia Bhatt Samuthirakani Olivia Morris Chatrapathi Sekhar Ray Stevenson Alison Doody Spandan Chaturvedi
